Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.0,-0.8762,0.02723,0.02323,-0.0276,0.9529,0.0066
-9.75,-0.8668,0.02454,0.02018,-0.0251,0.9454,0.0069
-9.5,-0.8511,0.02251,0.01783,-0.0234,0.9385,0.0073
-9.25,-0.8339,0.02094,0.01598,-0.0216,0.9319,0.0076
-9.0,-0.8123,0.01998,0.01489,-0.0205,0.9257,0.008
-8.75,-0.7895,0.0193,0.0141,-0.0195,0.9193,0.0085
-8.5,-0.767,0.01854,0.01321,-0.0183,0.9139,0.009
-8.25,-0.7436,0.01765,0.01214,-0.0174,0.9078,0.0097
-8.0,-0.7203,0.01692,0.01128,-0.0164,0.902,0.0103
-7.75,-0.6947,0.01661,0.01093,-0.0158,0.8964,0.0109
-7.5,-0.669,0.01622,0.01046,-0.0152,0.8902,0.0116
-7.25,-0.6444,0.01569,0.0098,-0.0143,0.8846,0.0123
-7.0,-0.6188,0.01511,0.00909,-0.0137,0.8788,0.0131
-6.75,-0.5921,0.01491,0.00887,-0.0133,0.873,0.0136
-6.5,-0.5655,0.01472,0.00862,-0.0129,0.8678,0.0143
-6.25,-0.5386,0.01435,0.00819,-0.0125,0.8616,0.0151
-6.0,-0.5126,0.01389,0.00761,-0.0119,0.8556,0.0159
-5.75,-0.4861,0.01354,0.00719,-0.0115,0.8502,0.0166
-5.5,-0.4583,0.01342,0.00706,-0.0113,0.8441,0.0174
-5.25,-0.4312,0.01322,0.00681,-0.0109,0.8381,0.0184
-5.0,-0.4036,0.01299,0.00651,-0.0106,0.8318,0.0196
-4.75,-0.3766,0.01266,0.0061,-0.0103,0.8255,0.0206
-4.5,-0.35,0.0123,0.00572,-0.0099,0.8202,0.0215
-4.25,-0.3226,0.01201,0.00541,-0.0096,0.8144,0.0223
-4.0,-0.2955,0.01175,0.00509,-0.0093,0.8085,0.0233
-3.75,-0.2684,0.01146,0.00474,-0.0089,0.8004,0.0242
-3.5,-0.2416,0.0112,0.00439,-0.0084,0.7901,0.0248
-3.25,-0.215,0.01083,0.00398,-0.0079,0.7799,0.0256
-3.0,-0.1881,0.01056,0.00367,-0.0076,0.7713,0.0266
-2.75,-0.1606,0.01037,0.00344,-0.0073,0.7617,0.0277
-2.5,-0.133,0.01019,0.00322,-0.007,0.7512,0.0289
-2.25,-0.1054,0.01001,0.00299,-0.0067,0.7405,0.0298
-2.0,-0.0776,0.00986,0.00278,-0.0065,0.7294,0.0307
-1.75,-0.05,0.00965,0.00255,-0.0063,0.7172,0.0322
-1.5,-0.0222,0.0095,0.00237,-0.0061,0.7045,0.0338
-1.25,0.0058,0.00939,0.00221,-0.0059,0.6909,0.0355
-1.0,0.0338,0.0093,0.00207,-0.0058,0.6747,0.0376
-0.75,0.0617,0.00921,0.00193,-0.0056,0.6572,0.042
-0.5,0.0894,0.00914,0.00182,-0.0054,0.6334,0.0511
-0.25,0.1158,0.00903,0.00172,-0.0051,0.5931,0.0993
0.0,0.1399,0.00876,0.00165,-0.0045,0.5433,0.2262
0.25,0.1595,0.00815,0.00161,-0.0034,0.4848,0.4713
0.5,0.1687,0.0071,0.00161,0.0005,0.4406,0.8071
0.75,0.2353,0.00761,0.00211,-0.0077,0.3514,0.9503
1.0,0.2738,0.00809,0.00236,-0.0099,0.3091,0.9673
1.25,0.3169,0.0085,0.00259,-0.0131,0.2789,0.9783
1.5,0.3546,0.00878,0.00274,-0.0151,0.2602,0.9849
1.75,0.3894,0.00894,0.00279,-0.0167,0.2468,0.9864
2.0,0.4224,0.00908,0.00285,-0.0178,0.236,0.9879
2.25,0.4548,0.00921,0.00291,-0.0188,0.2269,0.9896
2.75,0.5182,0.00949,0.00308,-0.0206,0.2104,0.9933
3.25,0.5831,0.00977,0.00324,-0.0227,0.1952,0.9957
3.75,0.647,0.01006,0.00344,-0.0246,0.1814,0.9979
4.0,0.6785,0.01021,0.00355,-0.0255,0.1752,0.999
4.25,0.71,0.01037,0.00367,-0.0264,0.1701,0.9999
4.5,0.736,0.01051,0.00381,-0.0261,0.1653,1.0
4.75,0.7609,0.0107,0.00394,-0.0255,0.1594,1.0
5.0,0.7858,0.01086,0.00409,-0.025,0.1549,1.0
5.25,0.8105,0.01103,0.00425,-0.0244,0.1499,1.0
5.5,0.835,0.01123,0.00442,-0.0238,0.1455,1.0
5.75,0.8595,0.01142,0.00461,-0.0231,0.1423,1.0
6.0,0.8839,0.0116,0.0048,-0.0225,0.1393,1.0
6.25,0.9081,0.0118,0.005,-0.0218,0.136,1.0
6.5,0.932,0.01203,0.00522,-0.0211,0.1322,1.0
6.75,0.9557,0.01226,0.00546,-0.0204,0.1287,1.0
7.0,0.9797,0.01247,0.00568,-0.0197,0.1259,1.0
7.25,1.0033,0.0127,0.00592,-0.0189,0.123,1.0
7.5,1.0266,0.01295,0.00618,-0.0181,0.1203,1.0
7.75,1.0495,0.01324,0.00648,-0.0172,0.1175,1.0
8.0,1.0726,0.01349,0.00676,-0.0164,0.1154,1.0
8.25,1.0956,0.01374,0.00704,-0.0155,0.1134,1.0
8.5,1.1184,0.014,0.00735,-0.0146,0.1111,1.0
8.75,1.1408,0.01429,0.00766,-0.0137,0.1086,1.0
9.0,1.1624,0.01462,0.008,-0.0127,0.1054,1.0
9.25,1.1842,0.01493,0.00834,-0.0116,0.1025,1.0
9.5,1.2063,0.01521,0.00866,-0.0107,0.0992,1.0
9.75,1.2275,0.01554,0.00901,-0.0096,0.0952,1.0
10.0,1.2477,0.01594,0.00941,-0.0084,0.0915,1.0
10.25,1.2688,0.01625,0.00978,-0.0073,0.0887,1.0
10.5,1.2892,0.01661,0.01018,-0.0061,0.0841,1.0
10.75,1.3081,0.01706,0.01062,-0.0047,0.0794,1.0
11.0,1.3273,0.01746,0.01107,-0.0034,0.0744,1.0
11.25,1.3446,0.01799,0.01158,-0.0018,0.0676,1.0
11.5,1.3608,0.01856,0.01215,-0.0001,0.0618,1.0
11.75,1.3759,0.01916,0.01277,0.0017,0.0575,1.0
12.0,1.39,0.01976,0.0134,0.0037,0.0545,1.0
12.25,1.3997,0.02045,0.01412,0.0064,0.0513,1.0
12.5,1.4103,0.02114,0.01486,0.0088,0.0485,1.0
12.75,1.4219,0.02187,0.01565,0.0109,0.0457,1.0
13.0,1.4316,0.02279,0.01662,0.013,0.0426,1.0
13.25,1.4425,0.02371,0.01759,0.0147,0.04,1.0
13.5,1.4548,0.02455,0.01851,0.0163,0.0375,1.0
13.75,1.4641,0.02567,0.01967,0.0179,0.0342,1.0
14.0,1.4725,0.02689,0.02094,0.0194,0.0315,1.0
14.25,1.4802,0.02823,0.02233,0.0208,0.0289,1.0
14.5,1.4857,0.02979,0.02394,0.0221,0.0268,1.0
14.75,1.4925,0.0313,0.02556,0.0232,0.0255,1.0
15.0,1.4976,0.03302,0.02737,0.0242,0.0243,1.0
15.25,1.5008,0.03498,0.02943,0.0251,0.0232,1.0
15.5,1.5017,0.03724,0.03178,0.0257,0.0222,1.0
15.75,1.5012,0.03976,0.0344,0.0262,0.0214,1.0
16.0,1.5012,0.04234,0.03711,0.0263,0.0208,1.0
16.25,1.4984,0.04534,0.04023,0.0262,0.0201,1.0
16.5,1.4926,0.04887,0.0439,0.0256,0.0194,1.0
16.75,1.4832,0.05308,0.04824,0.0245,0.0188,1.0
17.0,1.4698,0.05816,0.05346,0.0226,0.0183,1.0
