Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.0,-0.4992,0.16247,0.14622,0.0114,1.0,0.3219
-11.75,-0.4933,0.15827,0.14201,0.0082,1.0,0.2956
-11.5,-0.4899,0.15456,0.13834,0.0056,1.0,0.2788
-11.25,-0.4872,0.15098,0.13481,0.0033,1.0,0.2661
-10.75,-0.4801,0.14355,0.12749,-0.0006,1.0,0.2497
-10.5,-0.4788,0.13998,0.12401,-0.0024,1.0,0.2438
-10.25,-0.4799,0.13661,0.12071,-0.0045,1.0,0.2383
-10.0,-0.4734,0.13257,0.11669,-0.0058,1.0,0.2354
-9.75,-0.4701,0.12876,0.11297,-0.0072,1.0,0.2325
-9.5,-0.4698,0.12509,0.1094,-0.0089,1.0,0.2294
-9.25,-0.4752,0.1216,0.10606,-0.0111,1.0,0.2257
-9.0,-0.4768,0.11791,0.10244,-0.0128,1.0,0.2231
-8.75,-0.4743,0.11406,0.09867,-0.0139,1.0,0.2215
-8.5,-0.4727,0.11022,0.09492,-0.0151,1.0,0.2197
-8.25,-0.4723,0.10642,0.09119,-0.0164,1.0,0.2182
-8.0,-0.4728,0.10264,0.08748,-0.0177,1.0,0.2169
-7.75,-0.4738,0.0989,0.08379,-0.0189,1.0,0.216
-7.5,-0.4745,0.0952,0.08012,-0.0198,1.0,0.2157
-7.25,-0.4748,0.09155,0.07645,-0.0206,1.0,0.2158
-7.0,-0.4745,0.08796,0.07282,-0.0211,1.0,0.2163
-6.75,-0.4732,0.08442,0.0692,-0.0215,1.0,0.2173
-6.5,-0.4709,0.08095,0.06559,-0.0217,1.0,0.2186
-6.25,-0.4674,0.07754,0.062,-0.0217,1.0,0.2201
-6.0,-0.4623,0.07424,0.05842,-0.0216,1.0,0.2218
-5.75,-0.4558,0.07105,0.05486,-0.0215,1.0,0.2241
-5.5,-0.443,0.06803,0.05171,-0.0205,1.0,0.229
-5.25,-0.4307,0.06514,0.0485,-0.0199,1.0,0.2347
-5.0,-0.417,0.06235,0.04527,-0.0195,1.0,0.2409
-4.75,-0.3996,0.05969,0.04238,-0.0187,1.0,0.2489
-4.5,-0.3809,0.05715,0.03945,-0.0182,1.0,0.2585
-4.25,-0.3607,0.05477,0.03671,-0.0177,1.0,0.2714
-4.0,-0.3399,0.05249,0.03421,-0.0169,1.0,0.2874
-3.75,-0.3187,0.05025,0.03196,-0.0159,1.0,0.3072
-3.25,-0.1284,0.04019,0.02446,-0.0305,1.0,1.0
-3.0,-0.1165,0.03989,0.02298,-0.0288,1.0,1.0
-2.75,-0.1039,0.03975,0.02195,-0.0267,1.0,1.0
-2.5,-0.0917,0.03967,0.02114,-0.0246,1.0,1.0
-2.25,-0.0796,0.03964,0.02048,-0.0225,1.0,1.0
-2.0,-0.0674,0.03966,0.01991,-0.0203,1.0,1.0
-1.75,-0.0552,0.03971,0.01945,-0.0182,1.0,1.0
-1.5,-0.0429,0.0398,0.01908,-0.0162,1.0,1.0
-1.25,-0.0303,0.03993,0.01878,-0.0142,1.0,1.0
-1.0,-0.0176,0.04009,0.01853,-0.0123,1.0,1.0
-0.75,-0.0045,0.04029,0.01837,-0.0104,1.0,1.0
-0.5,0.0087,0.04053,0.01828,-0.0086,1.0,1.0
-0.25,0.0222,0.04081,0.01826,-0.007,1.0,1.0
0.0,0.0358,0.04112,0.0183,-0.0054,1.0,1.0
0.25,0.0497,0.04149,0.0184,-0.0039,1.0,1.0
0.5,0.0636,0.04189,0.01859,-0.0024,1.0,1.0
0.75,0.0775,0.04235,0.01886,-0.0011,1.0,1.0
1.0,0.0914,0.04286,0.01921,0.0001,1.0,1.0
1.25,0.1053,0.04343,0.01963,0.0012,1.0,1.0
1.5,0.1189,0.04406,0.02015,0.0023,1.0,1.0
1.75,0.1323,0.04477,0.02077,0.0032,1.0,1.0
2.0,0.1453,0.04556,0.02151,0.004,1.0,1.0
2.25,0.1578,0.04645,0.02235,0.0047,1.0,1.0
2.5,0.1697,0.04746,0.02335,0.0053,1.0,1.0
2.75,0.1807,0.04859,0.02449,0.0057,1.0,1.0
3.0,0.1907,0.04989,0.02581,0.0059,1.0,1.0
3.25,0.1996,0.05136,0.02731,0.006,1.0,1.0
3.5,0.2074,0.05302,0.02901,0.0058,1.0,1.0
3.75,0.2982,0.0579,0.03413,-0.0103,0.9304,1.0
4.0,0.3559,0.06119,0.03763,-0.0185,0.871,1.0
4.25,0.4011,0.0639,0.04048,-0.0235,0.8203,1.0
4.5,0.4362,0.06625,0.04299,-0.0263,0.7769,1.0
4.75,0.4626,0.06846,0.04526,-0.0276,0.7402,1.0
5.0,0.486,0.07064,0.04751,-0.0284,0.7078,1.0
5.25,0.5098,0.07287,0.0498,-0.0291,0.6797,1.0
5.5,0.5272,0.0751,0.05208,-0.029,0.6543,1.0
5.75,0.5443,0.07746,0.05452,-0.0291,0.6325,1.0
6.0,0.5564,0.0799,0.05699,-0.0287,0.6128,1.0
6.25,0.5712,0.08241,0.05955,-0.0286,0.5947,1.0
6.5,0.584,0.08505,0.06224,-0.0285,0.5787,1.0
6.75,0.5948,0.08777,0.065,-0.0283,0.5638,1.0
7.0,0.6033,0.09066,0.06796,-0.0281,0.551,1.0
7.25,0.6138,0.09357,0.07091,-0.028,0.5387,1.0
7.5,0.6275,0.09649,0.0739,-0.0281,0.5267,1.0
7.75,0.6295,0.09967,0.07711,-0.0279,0.5172,1.0
8.0,0.6365,0.10288,0.08036,-0.028,0.5085,1.0
8.25,0.6482,0.10602,0.08358,-0.0281,0.4984,1.0
8.5,0.6473,0.10934,0.08695,-0.0281,0.4911,1.0
8.75,0.6573,0.11272,0.09043,-0.0285,0.4838,1.0
9.0,0.6591,0.11617,0.09391,-0.0288,0.4784,1.0
9.25,0.6624,0.11953,0.09732,-0.029,0.4717,1.0
9.5,0.6715,0.12296,0.10082,-0.0294,0.4643,1.0
9.75,0.6709,0.12638,0.10429,-0.0298,0.4599,1.0
10.0,0.6744,0.12998,0.10797,-0.0304,0.4568,1.0
10.25,0.6855,0.13372,0.11187,-0.0311,0.4515,1.0
10.5,0.6852,0.13706,0.11524,-0.0315,0.4472,1.0
10.75,0.6868,0.1404,0.11865,-0.032,0.4426,1.0
11.0,0.6924,0.14403,0.12237,-0.0328,0.4391,1.0
11.25,0.6955,0.14772,0.12614,-0.0338,0.4389,1.0
11.5,0.7024,0.15154,0.13006,-0.0347,0.4366,1.0
11.75,0.707,0.1551,0.13368,-0.0355,0.4332,1.0
12.0,0.7075,0.15825,0.1369,-0.0362,0.4304,1.0
12.25,0.7106,0.16166,0.1404,-0.0372,0.4289,1.0
12.5,0.7153,0.16549,0.14435,-0.0385,0.4311,1.0
12.75,0.7205,0.16928,0.14825,-0.0398,0.4324,1.0
13.0,0.7244,0.17274,0.15179,-0.041,0.4321,1.0
13.25,0.7282,0.17609,0.15523,-0.0421,0.4314,1.0
13.5,0.7345,0.17999,0.15923,-0.0436,0.433,1.0
13.75,0.7331,0.18304,0.16235,-0.0455,0.4446,1.0
14.0,0.735,0.18667,0.16606,-0.0477,0.4591,1.0
14.25,0.7385,0.19083,0.17032,-0.0503,0.4786,1.0
14.5,0.7063,0.19359,0.17308,-0.0591,0.6558,1.0
14.75,0.72,0.19893,0.17854,-0.0611,0.6508,1.0
15.0,0.7268,0.20208,0.18179,-0.0624,0.6505,1.0
15.25,0.7323,0.20462,0.18442,-0.0635,0.6491,1.0
15.5,0.7395,0.20713,0.18709,-0.0645,0.6399,1.0
15.75,0.7483,0.21037,0.19041,-0.0656,0.6299,1.0
16.0,0.7609,0.21516,0.19533,-0.0671,0.6186,1.0
16.25,0.7669,0.2172,0.19747,-0.0681,0.6108,1.0
16.5,0.7788,0.22211,0.20249,-0.0698,0.6035,1.0
16.75,0.7895,0.22602,0.20654,-0.071,0.5907,1.0
17.0,0.7959,0.22792,0.20855,-0.0718,0.5785,1.0
