Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.0,-0.6829,0.15853,0.15724,0.0535,0.9258,0.0022
-11.75,-0.6769,0.1543,0.153,0.0516,0.9233,0.0022
-11.5,-0.6706,0.15028,0.14898,0.0499,0.9208,0.0023
-11.25,-0.6646,0.14606,0.14476,0.048,0.9184,0.0023
-11.0,-0.6583,0.14202,0.14071,0.0461,0.9155,0.0023
-10.75,-0.6528,0.13786,0.13655,0.0444,0.9123,0.0024
-10.5,-0.6478,0.1337,0.13238,0.0426,0.9092,0.0025
-10.25,-0.6434,0.12943,0.1281,0.0409,0.9063,0.0026
-10.0,-0.6391,0.12501,0.12368,0.0389,0.9035,0.0027
-9.75,-0.6356,0.12054,0.11921,0.037,0.9003,0.0028
-9.5,-0.6328,0.11597,0.11463,0.035,0.8969,0.003
-9.25,-0.6306,0.11132,0.10997,0.0329,0.8936,0.0032
-9.0,-0.6291,0.10659,0.10523,0.0307,0.8904,0.0033
-8.75,-0.6283,0.10163,0.10028,0.0283,0.8867,0.0034
-8.5,-0.6292,0.09641,0.09505,0.0257,0.8824,0.0036
-8.25,-0.63,0.09128,0.08991,0.023,0.8782,0.0037
-8.0,-0.6319,0.08587,0.08449,0.0198,0.8741,0.0038
-7.75,-0.6333,0.08058,0.0792,0.0163,0.8695,0.0039
-7.5,-0.636,0.07506,0.07367,0.0118,0.8646,0.0039
-7.25,-0.64,0.06851,0.06711,0.004,0.8592,0.0039
-7.0,-0.6479,0.06293,0.06147,-0.0015,0.8528,0.0039
-6.75,-0.6486,0.0577,0.05614,-0.0051,0.8482,0.004
-6.5,-0.6455,0.05282,0.05116,-0.0075,0.8442,0.0041
-6.25,-0.6384,0.04835,0.04656,-0.009,0.8399,0.0042
-6.0,-0.6277,0.04411,0.04216,-0.0099,0.8359,0.0044
-5.75,-0.6149,0.03971,0.03758,-0.0104,0.8325,0.0047
-5.5,-0.6,0.0351,0.03274,-0.0104,0.829,0.005
-5.25,-0.5828,0.03037,0.02774,-0.0099,0.8254,0.0053
-5.0,-0.5628,0.0258,0.02285,-0.009,0.8219,0.0055
-4.75,-0.5398,0.02151,0.01819,-0.008,0.8185,0.0057
-4.5,-0.5139,0.01772,0.01402,-0.0069,0.8152,0.0057
-4.25,-0.4857,0.01437,0.01027,-0.0059,0.8116,0.0057
-4.0,-0.4555,0.01192,0.00745,-0.0049,0.8081,0.0057
-3.75,-0.4238,0.01041,0.00566,-0.0041,0.8048,0.0058
-3.5,-0.391,0.00943,0.00451,-0.0036,0.8018,0.0058
-3.25,-0.3574,0.00878,0.00372,-0.0033,0.7984,0.0059
-3.0,-0.3235,0.00827,0.00311,-0.003,0.7938,0.0061
-2.75,-0.2893,0.00792,0.00267,-0.0029,0.7866,0.0065
-2.5,-0.2549,0.00768,0.00235,-0.0029,0.7742,0.007
-2.25,-0.2204,0.00749,0.00208,-0.003,0.7502,0.0078
-2.0,-0.1855,0.00739,0.00184,-0.0033,0.714,0.0085
-1.75,-0.1502,0.00736,0.00165,-0.0038,0.6655,0.0101
-1.5,-0.1151,0.00738,0.00153,-0.0043,0.6224,0.0121
-1.25,-0.0796,0.00748,0.00145,-0.0051,0.5606,0.0156
-1.0,-0.0443,0.00763,0.00139,-0.0059,0.4887,0.0222
-0.75,-0.0094,0.00769,0.00134,-0.0067,0.4271,0.0459
-0.5,0.0251,0.0076,0.00128,-0.0076,0.3705,0.1224
-0.25,0.0592,0.00729,0.00122,-0.0086,0.3227,0.2641
0.0,0.093,0.00654,0.00112,-0.0099,0.2808,0.5289
0.25,0.1269,0.00623,0.00114,-0.0108,0.2479,0.6721
0.5,0.1606,0.00617,0.00119,-0.0112,0.227,0.7351
0.75,0.1944,0.00623,0.00124,-0.0116,0.2085,0.7604
1.0,0.2283,0.00633,0.0013,-0.012,0.1925,0.7712
1.25,0.2621,0.00643,0.00136,-0.0124,0.1794,0.7806
1.5,0.2959,0.00652,0.00142,-0.0127,0.1691,0.789
2.0,0.3635,0.00672,0.00158,-0.0133,0.1518,0.8047
2.5,0.4312,0.0069,0.00176,-0.0138,0.1409,0.8207
2.75,0.465,0.00701,0.00186,-0.0141,0.1358,0.8286
3.0,0.4988,0.00711,0.00198,-0.0142,0.132,0.8371
3.25,0.5327,0.0072,0.0021,-0.0143,0.1293,0.8454
3.5,0.5665,0.00732,0.00222,-0.0144,0.1241,0.8546
3.75,0.6002,0.00745,0.00237,-0.0145,0.1179,0.864
4.0,0.634,0.00757,0.00252,-0.0144,0.1144,0.8738
4.25,0.6677,0.00771,0.00268,-0.0143,0.1096,0.8842
4.5,0.7012,0.00786,0.00286,-0.0141,0.105,0.8943
4.75,0.7349,0.00801,0.00304,-0.0138,0.0997,0.904
5.0,0.7683,0.00821,0.00326,-0.0135,0.0923,0.9138
5.25,0.8012,0.00846,0.0035,-0.013,0.0802,0.9222
5.5,0.8335,0.00893,0.00388,-0.0126,0.0558,0.9303
5.75,0.8653,0.0093,0.00426,-0.0119,0.0442,0.9376
6.0,0.8983,0.00968,0.00465,-0.0112,0.0362,0.9445
6.25,0.93,0.01004,0.00504,-0.0103,0.0298,0.9507
6.5,0.9627,0.01042,0.00546,-0.0094,0.024,0.9569
6.75,0.9946,0.01084,0.00592,-0.0083,0.0192,0.9623
7.0,1.0263,0.01128,0.00642,-0.0071,0.0156,0.9685
7.25,1.0589,0.01171,0.00693,-0.0059,0.0137,0.974
7.5,1.0912,0.01221,0.00752,-0.0046,0.0121,0.9809
7.75,1.1258,0.0128,0.00824,-0.0036,0.0111,0.9888
8.0,1.1609,0.01345,0.00903,-0.0027,0.0104,1.0
8.25,1.1938,0.01425,0.01,-0.0013,0.0099,1.0
8.5,1.2253,0.01524,0.01119,0.0003,0.0095,1.0
