Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.0,-0.5246,0.13795,0.13497,0.0128,1.0,0.0118
-11.75,-0.5209,0.13379,0.13082,0.011,1.0,0.0117
-11.5,-0.5179,0.12948,0.12652,0.0092,1.0,0.0115
-11.25,-0.516,0.12492,0.12197,0.0072,1.0,0.0112
-11.0,-0.5154,0.11997,0.11704,0.005,1.0,0.0109
-10.75,-0.517,0.11451,0.1116,0.0025,1.0,0.0106
-10.5,-0.521,0.10843,0.10554,-0.0005,1.0,0.0104
-10.25,-0.5251,0.10252,0.09965,-0.0035,1.0,0.0103
-10.0,-0.5273,0.09726,0.09442,-0.0064,1.0,0.0104
-9.75,-0.5305,0.09179,0.08898,-0.0097,1.0,0.0104
-9.5,-0.534,0.08634,0.08356,-0.0134,1.0,0.0105
-9.25,-0.5446,0.07892,0.07618,-0.0197,1.0,0.0104
-9.0,-0.569,0.06899,0.06623,-0.0292,1.0,0.0104
-8.75,-0.583,0.06189,0.05901,-0.0326,1.0,0.0104
-8.5,-0.5889,0.05552,0.05246,-0.0346,0.9922,0.0105
-8.25,-0.5841,0.04953,0.04621,-0.0364,0.9771,0.0109
-8.0,-0.6342,0.02841,0.02334,-0.0314,0.9582,0.0131
-7.75,-0.6111,0.02833,0.02324,-0.0308,0.9502,0.0133
-7.5,-0.5896,0.02781,0.02262,-0.0298,0.9436,0.0138
-7.25,-0.5702,0.02649,0.02106,-0.0286,0.9358,0.0148
-7.0,-0.5544,0.02388,0.01792,-0.0265,0.9288,0.0166
-6.75,-0.5301,0.02401,0.01807,-0.026,0.9216,0.0173
-6.5,-0.5083,0.02345,0.01737,-0.0248,0.9155,0.0185
-6.25,-0.4872,0.02131,0.01471,-0.0233,0.9087,0.02
-6.0,-0.4648,0.0202,0.01344,-0.0222,0.9028,0.0208
-5.75,-0.441,0.01967,0.01284,-0.0214,0.8973,0.0215
-5.5,-0.4161,0.01913,0.0122,-0.0208,0.8909,0.0227
-5.25,-0.3919,0.01834,0.01122,-0.0198,0.8857,0.024
-5.0,-0.3663,0.01753,0.01019,-0.0191,0.8801,0.0249
-4.75,-0.3414,0.01671,0.00933,-0.0185,0.874,0.026
-4.5,-0.3166,0.01626,0.00884,-0.0177,0.869,0.0271
-4.25,-0.2902,0.01572,0.00825,-0.0173,0.8627,0.0283
-4.0,-0.2644,0.01515,0.00759,-0.0167,0.857,0.0293
-3.75,-0.2389,0.01465,0.007,-0.0159,0.8523,0.0303
-3.5,-0.2128,0.0141,0.00643,-0.0155,0.8462,0.0316
-3.25,-0.1874,0.01364,0.00598,-0.0149,0.8406,0.033
-3.0,-0.1619,0.01326,0.00557,-0.0143,0.8327,0.0343
-2.75,-0.137,0.01288,0.00512,-0.0133,0.8228,0.0355
-2.5,-0.1112,0.01257,0.00476,-0.0127,0.8114,0.0372
-2.25,-0.0854,0.01228,0.00441,-0.012,0.8011,0.0386
-1.75,-0.0341,0.01165,0.00369,-0.0106,0.779,0.0426
-1.5,-0.0075,0.01145,0.00343,-0.0102,0.7681,0.0454
-1.25,0.0191,0.01126,0.00318,-0.0097,0.7569,0.0499
-1.0,0.0457,0.01106,0.00297,-0.0092,0.7449,0.0582
-0.75,0.0717,0.01072,0.0028,-0.0087,0.7332,0.1047
-0.5,0.0938,0.0099,0.00262,-0.0079,0.7219,0.2971
-0.25,0.1057,0.00849,0.00246,-0.0048,0.7099,0.6411
0.0,0.1867,0.00828,0.00312,-0.0145,0.6871,0.9565
0.25,0.2399,0.00867,0.00335,-0.0193,0.6583,0.9821
0.5,0.2869,0.00889,0.00332,-0.0233,0.6131,0.9918
0.75,0.3248,0.00918,0.00322,-0.0255,0.5438,0.9959
1.0,0.3599,0.00964,0.00321,-0.0274,0.4563,0.9985
1.25,0.3919,0.01008,0.00328,-0.0287,0.3851,1.0
1.5,0.4179,0.01041,0.00333,-0.0286,0.3378,1.0
1.75,0.4437,0.01067,0.0034,-0.0285,0.3074,1.0
2.0,0.4694,0.01088,0.00347,-0.0282,0.2862,1.0
2.25,0.4949,0.01107,0.00354,-0.0279,0.2698,1.0
2.5,0.5203,0.01125,0.00363,-0.0276,0.2566,1.0
2.75,0.5455,0.01143,0.00373,-0.0272,0.2459,1.0
3.0,0.5706,0.0116,0.00384,-0.0268,0.2363,1.0
3.25,0.5954,0.01178,0.00396,-0.0263,0.2282,1.0
3.5,0.6201,0.01197,0.0041,-0.0258,0.2201,1.0
3.75,0.6446,0.01215,0.00424,-0.0252,0.2133,1.0
4.0,0.6691,0.01235,0.0044,-0.0246,0.2063,1.0
4.25,0.6933,0.01256,0.00457,-0.0241,0.2,1.0
4.5,0.7175,0.01276,0.00476,-0.0234,0.1934,1.0
4.75,0.7412,0.01301,0.00495,-0.0228,0.1873,1.0
5.0,0.7653,0.01321,0.00516,-0.0221,0.1823,1.0
5.25,0.789,0.01344,0.00539,-0.0214,0.1772,1.0
5.5,0.8121,0.01373,0.00563,-0.0207,0.1726,1.0
5.75,0.8358,0.01395,0.00588,-0.0199,0.1687,1.0
6.0,0.8591,0.01421,0.00615,-0.0192,0.1644,1.0
6.25,0.8819,0.0145,0.00643,-0.0184,0.1602,1.0
6.5,0.9046,0.0148,0.00672,-0.0175,0.1562,1.0
6.75,0.9276,0.01506,0.00702,-0.0167,0.1523,1.0
7.0,0.9501,0.01535,0.00733,-0.0159,0.1483,1.0
7.25,0.9719,0.01571,0.00766,-0.0149,0.1444,1.0
7.5,0.9944,0.01599,0.00799,-0.0141,0.1408,1.0
7.75,1.0166,0.01629,0.00834,-0.0132,0.1375,1.0
8.0,1.0383,0.01663,0.00871,-0.0122,0.1346,1.0
8.25,1.0593,0.01701,0.00909,-0.0112,0.1316,1.0
8.5,1.0802,0.0174,0.00951,-0.0101,0.129,1.0
8.75,1.1017,0.01773,0.00993,-0.0091,0.1265,1.0
9.0,1.1227,0.01809,0.01036,-0.0081,0.1239,1.0
9.25,1.1431,0.01848,0.01079,-0.007,0.1212,1.0
9.5,1.1627,0.01891,0.01125,-0.0058,0.1186,1.0
9.75,1.1815,0.01939,0.01177,-0.0045,0.116,1.0
10.0,1.202,0.01973,0.01222,-0.0034,0.1127,1.0
10.25,1.2213,0.02011,0.01266,-0.0022,0.1086,1.0
10.5,1.2387,0.02059,0.01314,-0.0008,0.1047,1.0
10.75,1.257,0.02103,0.01368,0.0006,0.1013,1.0
11.0,1.2751,0.02147,0.01421,0.0019,0.0975,1.0
11.25,1.2912,0.02198,0.01476,0.0034,0.0936,1.0
11.5,1.306,0.02254,0.01538,0.0052,0.09,1.0
11.75,1.3208,0.02305,0.016,0.007,0.0858,1.0
