Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
10.75,1.368,0.01591,0.01015,-0.0033,0.0491,1.0
11.0,1.3869,0.01639,0.01066,-0.0015,0.0464,1.0
11.25,1.4032,0.017,0.0113,0.0007,0.0429,1.0
11.5,1.4199,0.01755,0.01189,0.0028,0.0401,1.0
11.75,1.4366,0.01807,0.01245,0.0049,0.0371,1.0
12.25,1.4541,0.01944,0.01387,0.0115,0.0302,1.0
12.5,1.4631,0.02028,0.01474,0.0143,0.0271,1.0
12.75,1.4746,0.0211,0.01562,0.0167,0.0251,1.0
13.0,1.4852,0.02206,0.01664,0.0189,0.0231,1.0
13.25,1.4951,0.02314,0.01777,0.021,0.0213,1.0
13.5,1.5065,0.02419,0.0189,0.0227,0.0201,1.0
13.75,1.5162,0.0254,0.02019,0.0244,0.0189,1.0
14.0,1.524,0.02682,0.02169,0.0261,0.0176,1.0
14.25,1.5315,0.02832,0.02327,0.0275,0.0167,1.0
14.5,1.5387,0.02993,0.02497,0.0288,0.0158,1.0
14.75,1.5428,0.03185,0.02699,0.03,0.0145,1.0
15.0,1.544,0.03412,0.02935,0.0309,0.0135,1.0
15.25,1.5456,0.03647,0.0318,0.0316,0.0129,1.0
15.5,1.5452,0.03911,0.03455,0.032,0.0121,1.0
15.75,1.5413,0.04225,0.0378,0.032,0.0113,1.0
16.0,1.5335,0.04599,0.04166,0.0315,0.0107,1.0
16.25,1.5219,0.05047,0.04626,0.0304,0.0102,1.0
16.5,1.5081,0.05557,0.0515,0.0286,0.0099,1.0
16.75,1.4886,0.06188,0.05797,0.0257,0.0097,1.0
17.0,1.4605,0.06984,0.06611,0.0218,0.0098,1.0
