Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.0,-0.5441,0.14336,0.14205,0.0217,0.9531,0.0029
-11.75,-0.5406,0.13925,0.13792,0.0204,0.9471,0.003
-11.5,-0.5374,0.13498,0.13364,0.0188,0.9419,0.0031
-11.25,-0.5348,0.13056,0.12922,0.0172,0.9357,0.0032
-11.0,-0.5334,0.12601,0.12465,0.0156,0.9295,0.0034
-10.75,-0.5323,0.12129,0.11992,0.0137,0.9233,0.0034
-10.5,-0.5325,0.1165,0.11511,0.0119,0.9165,0.0035
-10.25,-0.5334,0.11153,0.11012,0.0098,0.9101,0.0036
-10.0,-0.5357,0.1064,0.10498,0.0076,0.9028,0.0036
-9.75,-0.5392,0.10108,0.09964,0.0052,0.896,0.0037
-9.5,-0.5446,0.09547,0.09401,0.0024,0.8885,0.0038
-9.25,-0.5493,0.09011,0.08863,-0.0005,0.8811,0.0038
-9.0,-0.5512,0.08533,0.08383,-0.0033,0.8728,0.0039
-8.75,-0.5543,0.08031,0.0788,-0.0066,0.8648,0.004
-8.5,-0.559,0.07496,0.07343,-0.0107,0.8558,0.004
-8.25,-0.5672,0.06866,0.06712,-0.0177,0.8462,0.004
-8.0,-0.5778,0.06299,0.06137,-0.0227,0.8355,0.0041
-7.75,-0.5861,0.05769,0.05598,-0.0254,0.8253,0.0041
-7.5,-0.5909,0.05216,0.05032,-0.0274,0.8163,0.0042
-7.0,-0.5969,0.04058,0.03832,-0.028,0.8002,0.0044
-6.75,-0.6006,0.034,0.03141,-0.0266,0.7931,0.0046
-6.5,-0.6055,0.02675,0.02368,-0.0239,0.7868,0.0048
-6.25,-0.6104,0.01909,0.0153,-0.0201,0.7803,0.0052
-6.0,-0.6009,0.0139,0.00942,-0.0169,0.7748,0.0056
-5.75,-0.5744,0.01222,0.00746,-0.0151,0.7704,0.0063
-5.5,-0.545,0.01125,0.00628,-0.0137,0.7656,0.0073
-5.25,-0.514,0.01066,0.00556,-0.0126,0.7608,0.0085
-5.0,-0.4826,0.01016,0.00494,-0.0115,0.7558,0.01
-4.75,-0.4502,0.00987,0.00459,-0.0107,0.748,0.0113
-4.5,-0.4182,0.00957,0.00419,-0.0099,0.7392,0.0125
-4.25,-0.386,0.00932,0.00387,-0.0092,0.7307,0.0134
-4.0,-0.3533,0.00914,0.00366,-0.0087,0.7231,0.0145
-3.75,-0.3211,0.00894,0.00339,-0.0081,0.7136,0.0157
-3.5,-0.289,0.00875,0.00314,-0.0076,0.7024,0.0166
-3.25,-0.2566,0.00863,0.00298,-0.0073,0.6886,0.0177
-3.0,-0.2243,0.00853,0.00282,-0.0069,0.6723,0.019
-2.75,-0.1921,0.00844,0.00265,-0.0066,0.6538,0.0199
-2.5,-0.1604,0.00832,0.00244,-0.0063,0.6311,0.0205
-2.25,-0.1293,0.00825,0.00222,-0.0059,0.5888,0.0214
-2.0,-0.0979,0.00827,0.00208,-0.0057,0.5461,0.0222
-1.75,-0.0666,0.00835,0.00199,-0.0055,0.4956,0.0232
-1.5,-0.0355,0.00846,0.00193,-0.0053,0.4437,0.0239
-1.25,-0.0048,0.00864,0.00188,-0.0052,0.3798,0.0244
-1.0,0.0262,0.00876,0.00184,-0.005,0.3343,0.025
-0.75,0.0571,0.00883,0.00179,-0.0048,0.301,0.0259
-0.5,0.0881,0.00889,0.00176,-0.0047,0.2749,0.0271
