Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.0,-0.6841,0.16068,0.15939,0.0548,0.9228,0.0022
-11.75,-0.6781,0.15603,0.15473,0.0527,0.9205,0.0022
-11.5,-0.6712,0.15184,0.15055,0.0508,0.918,0.0022
-11.25,-0.665,0.14762,0.14632,0.0489,0.9151,0.0023
-11.0,-0.6585,0.14358,0.14228,0.0471,0.912,0.0023
-10.75,-0.6526,0.13945,0.13814,0.0454,0.9089,0.0024
-10.5,-0.6469,0.13528,0.13396,0.0436,0.906,0.0024
-10.25,-0.6418,0.131,0.12968,0.0417,0.9031,0.0025
-10.0,-0.6371,0.12664,0.12531,0.0398,0.8999,0.0026
-9.75,-0.633,0.12221,0.12088,0.0379,0.8966,0.0028
-9.5,-0.6297,0.11771,0.11637,0.036,0.8933,0.0029
-9.25,-0.6268,0.11311,0.11176,0.0339,0.8903,0.0031
-9.0,-0.6244,0.10843,0.10708,0.0318,0.8868,0.0032
-8.75,-0.623,0.10363,0.10227,0.0295,0.8829,0.0033
-8.5,-0.6227,0.0986,0.09724,0.0271,0.8788,0.0035
-8.25,-0.6228,0.09355,0.09217,0.0244,0.875,0.0036
-8.0,-0.6241,0.08822,0.08685,0.0215,0.8708,0.0038
-7.75,-0.6249,0.08306,0.08167,0.0183,0.8664,0.0038
-7.5,-0.6265,0.0778,0.07642,0.0145,0.8621,0.0039
-7.25,-0.628,0.07232,0.07093,0.0097,0.8572,0.0039
-7.0,-0.6325,0.0658,0.06439,0.0013,0.8512,0.004
-6.75,-0.6382,0.06062,0.05914,-0.003,0.8463,0.004
-6.5,-0.637,0.05564,0.05407,-0.0062,0.8419,0.0041
-6.25,-0.6324,0.05103,0.04933,-0.0083,0.8375,0.0042
-6.0,-0.6241,0.04666,0.04482,-0.0097,0.8336,0.0043
-5.75,-0.6134,0.04217,0.04018,-0.0106,0.8302,0.0046
-5.5,-0.6001,0.03759,0.03541,-0.0109,0.8266,0.0049
-5.25,-0.5844,0.03294,0.03051,-0.0107,0.823,0.0051
-4.75,-0.544,0.02401,0.02097,-0.0092,0.8162,0.0056
-4.5,-0.5192,0.01997,0.01657,-0.0081,0.8126,0.0058
-4.25,-0.4918,0.01645,0.01266,-0.007,0.809,0.0057
-4.0,-0.4621,0.01339,0.0092,-0.006,0.8056,0.0057
-3.75,-0.4306,0.01118,0.00666,-0.005,0.8027,0.0058
-3.5,-0.3979,0.00983,0.00508,-0.0043,0.7994,0.0058
-3.25,-0.3642,0.00898,0.00405,-0.0038,0.7959,0.0059
-3.0,-0.3297,0.00841,0.00335,-0.0034,0.7912,0.006
-2.75,-0.2948,0.00796,0.0028,-0.0033,0.7835,0.0063
-2.5,-0.2597,0.00769,0.00243,-0.0032,0.7705,0.0068
-2.25,-0.2244,0.0075,0.00213,-0.0033,0.7449,0.0075
-2.0,-0.1887,0.0074,0.00188,-0.0036,0.7039,0.0083
-1.75,-0.1525,0.00738,0.00169,-0.0041,0.6514,0.0096
-1.5,-0.1166,0.0074,0.00156,-0.0046,0.606,0.0116
-1.25,-0.0804,0.00752,0.00148,-0.0054,0.5395,0.0149
-1.0,-0.0444,0.00767,0.00142,-0.0063,0.4683,0.0205
-0.75,-0.0089,0.00776,0.00137,-0.007,0.4074,0.0374
-0.5,0.0262,0.00767,0.00132,-0.0079,0.3514,0.1102
0.0,0.0952,0.00666,0.00115,-0.0101,0.2682,0.4935
0.25,0.1296,0.00625,0.00115,-0.011,0.2391,0.6619
0.5,0.164,0.00619,0.00121,-0.0115,0.2187,0.727
0.75,0.1984,0.00624,0.00127,-0.0119,0.2015,0.7553
1.0,0.2329,0.00634,0.00132,-0.0123,0.1866,0.7668
1.25,0.2673,0.00643,0.00138,-0.0126,0.1739,0.7762
1.5,0.3018,0.00653,0.00145,-0.013,0.164,0.7845
1.75,0.3363,0.00662,0.00152,-0.0133,0.1565,0.7928
2.0,0.3707,0.00673,0.00161,-0.0136,0.1476,0.8002
2.25,0.4052,0.00681,0.0017,-0.0139,0.1431,0.8081
2.5,0.4397,0.00691,0.0018,-0.0141,0.1381,0.8158
2.75,0.4742,0.00702,0.00191,-0.0143,0.1329,0.8243
3.0,0.5088,0.00711,0.00202,-0.0144,0.1305,0.832
3.25,0.5434,0.00721,0.00214,-0.0146,0.1273,0.8405
3.5,0.5779,0.00735,0.00228,-0.0146,0.1212,0.8493
3.75,0.6125,0.00747,0.00242,-0.0146,0.1165,0.8584
4.0,0.6471,0.00759,0.00258,-0.0146,0.1125,0.8685
4.25,0.6815,0.00775,0.00276,-0.0144,0.107,0.8784
4.5,0.7161,0.00788,0.00294,-0.0142,0.1037,0.8887
4.75,0.7506,0.00806,0.00313,-0.0139,0.0968,0.8992
5.0,0.7847,0.00824,0.00335,-0.0135,0.0899,0.9089
5.25,0.8186,0.00854,0.00363,-0.013,0.0744,0.9178
5.5,0.8511,0.00903,0.00406,-0.0123,0.0515,0.9268
5.75,0.8844,0.00941,0.00445,-0.0116,0.0411,0.9341
6.0,0.9179,0.00977,0.00484,-0.0107,0.0341,0.9417
6.25,0.9511,0.01018,0.00528,-0.0098,0.0271,0.9478
6.5,0.9839,0.01061,0.00575,-0.0086,0.0211,0.9543
6.75,1.0176,0.01104,0.00624,-0.0075,0.0172,0.9598
7.0,1.0501,0.01147,0.00676,-0.006,0.0145,0.9658
7.25,1.0836,0.01196,0.00735,-0.0046,0.0128,0.9715
7.5,1.1162,0.01252,0.00803,-0.0029,0.0116,0.9781
7.75,1.1504,0.01318,0.00885,-0.0014,0.011,0.9856
8.0,1.1862,0.01399,0.00985,-0.0002,0.0104,1.0
8.25,1.2183,0.01507,0.01116,0.0017,0.0099,1.0
8.5,1.2464,0.01655,0.01292,0.004,0.0094,1.0
8.75,1.2672,0.01865,0.0154,0.0068,0.0089,1.0
9.0,1.277,0.02151,0.01867,0.01,0.0084,1.0
9.25,1.275,0.02492,0.02247,0.0132,0.008,1.0
9.5,1.2596,0.02844,0.02629,0.0166,0.0077,1.0
9.75,1.2418,0.03253,0.03063,0.0184,0.0075,1.0
10.0,1.2226,0.03727,0.03559,0.0183,0.0073,1.0
10.25,1.2032,0.04281,0.0413,0.016,0.0072,1.0
10.5,1.1848,0.04951,0.04814,0.0112,0.0071,1.0
10.75,1.1692,0.0583,0.05705,0.0034,0.0071,1.0
11.0,1.1522,0.0664,0.06518,-0.002,0.0071,1.0
11.25,1.1338,0.07354,0.07232,-0.0066,0.0071,1.0
11.5,1.1158,0.08036,0.07913,-0.0108,0.0071,1.0
11.75,1.0981,0.08705,0.08581,-0.0148,0.0071,1.0
12.0,1.0814,0.09364,0.0924,-0.0187,0.0071,1.0
12.25,1.0653,0.10019,0.09895,-0.0224,0.0071,1.0
12.5,1.0502,0.10674,0.10551,-0.0262,0.0071,1.0
12.75,1.0358,0.11334,0.11211,-0.03,0.0071,1.0
13.0,1.0226,0.11992,0.1187,-0.0337,0.007,1.0
13.25,1.0103,0.12669,0.12549,-0.0376,0.007,1.0
13.5,0.9992,0.13345,0.13226,-0.0414,0.0069,1.0
