Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.0,-0.3664,0.12151,0.1121,-0.0099,1.0,0.1605
-6.75,-0.3653,0.11896,0.10964,-0.0094,1.0,0.1665
-6.5,-0.3711,0.11811,0.10892,-0.0106,1.0,0.1709
-6.25,-0.3631,0.1136,0.10451,-0.0089,1.0,0.1758
-6.0,-0.3614,0.11117,0.10217,-0.0087,1.0,0.1843
-5.75,-0.3596,0.10848,0.0996,-0.009,1.0,0.1898
-5.5,-0.3556,0.10565,0.09685,-0.0084,1.0,0.201
-5.25,-0.3504,0.10215,0.09345,-0.0074,1.0,0.2097
-4.75,-0.3433,0.09691,0.08839,-0.0077,1.0,0.2374
-4.5,-0.338,0.09354,0.08512,-0.0061,1.0,0.2553
-4.25,-0.3329,0.09031,0.08198,-0.0041,1.0,0.277
-4.0,-0.33,0.08723,0.07902,-0.0019,1.0,0.3077
-3.5,-0.3285,0.0809,0.07297,0.0064,1.0,0.3939
-3.25,-0.325,0.07775,0.06993,0.0097,1.0,0.4278
-3.0,-0.3173,0.07486,0.0671,0.0106,1.0,0.4482
-2.75,-0.3043,0.07185,0.06413,0.0097,1.0,0.4552
-2.5,-0.1667,0.06848,0.05932,-0.0296,1.0,0.1215
-2.25,-0.1388,0.06538,0.05601,-0.0319,1.0,0.1064
-2.0,-0.1161,0.06246,0.05301,-0.0328,1.0,0.1022
-1.75,-0.0896,0.05983,0.05019,-0.0344,1.0,0.0996
-1.5,-0.0621,0.05739,0.04752,-0.0358,1.0,0.0986
-1.25,-0.0344,0.05513,0.04502,-0.0371,1.0,0.0987
-1.0,-0.0071,0.05303,0.04269,-0.038,1.0,0.0991
-0.75,0.0206,0.05111,0.04048,-0.0387,1.0,0.0995
-0.5,0.0504,0.04939,0.03841,-0.0397,1.0,0.1012
-0.25,0.0827,0.04794,0.03647,-0.0409,1.0,0.1056
0.0,0.1157,0.04662,0.0347,-0.0424,1.0,0.1125
0.25,0.1488,0.04572,0.03323,-0.0437,1.0,0.1249
0.5,0.1774,0.04497,0.03221,-0.045,1.0,0.1533
0.75,0.2233,0.0442,0.03087,-0.0491,0.9958,0.1857
1.0,0.2996,0.04376,0.02966,-0.0584,0.9767,0.2055
1.25,0.3634,0.0435,0.02902,-0.0658,0.9505,0.2138
1.5,0.4196,0.04312,0.02845,-0.0717,0.9202,0.2253
1.75,0.4708,0.04266,0.02787,-0.0763,0.8875,0.234
2.0,0.518,0.04216,0.02739,-0.08,0.8531,0.2428
2.25,0.5687,0.04159,0.0269,-0.0839,0.821,0.2587
2.5,0.6245,0.04062,0.02648,-0.0887,0.7901,0.3143
2.75,0.6819,0.03926,0.02573,-0.0929,0.7591,1.0
3.0,0.7223,0.039,0.02503,-0.0935,0.7266,1.0
3.25,0.7666,0.03848,0.02412,-0.0944,0.6944,1.0
3.5,0.8264,0.03736,0.02254,-0.0972,0.6636,1.0
3.75,0.8927,0.03675,0.02136,-0.1015,0.6285,1.0
4.0,0.9274,0.03754,0.02186,-0.102,0.5938,1.0
4.25,0.9555,0.03844,0.02256,-0.1015,0.5629,1.0
4.5,0.9898,0.03919,0.02305,-0.1017,0.5358,1.0
4.75,1.0219,0.04022,0.02381,-0.1017,0.5107,1.0
5.0,1.0504,0.0415,0.02492,-0.1014,0.4875,1.0
5.25,1.0743,0.04301,0.02639,-0.1007,0.466,1.0
5.5,1.0982,0.04456,0.02797,-0.0999,0.4461,1.0
5.75,1.1202,0.04618,0.02964,-0.099,0.4285,1.0
6.0,1.1393,0.04788,0.03143,-0.0977,0.4122,1.0
6.25,1.1561,0.04967,0.03334,-0.0961,0.3974,1.0
6.5,1.1724,0.05155,0.03537,-0.0946,0.3845,1.0
6.75,1.1917,0.0533,0.03727,-0.0933,0.3726,1.0
7.0,1.2042,0.0553,0.03946,-0.0913,0.3609,1.0
7.25,1.21,0.05776,0.04216,-0.0887,0.3508,1.0
7.5,1.2314,0.05949,0.04394,-0.0878,0.3418,1.0
7.75,1.2231,0.06288,0.04768,-0.0841,0.3336,1.0
8.0,1.24,0.06473,0.04967,-0.0826,0.325,1.0
8.25,1.223,0.0688,0.05403,-0.0787,0.3178,1.0
8.5,1.2429,0.07055,0.05587,-0.0775,0.3104,1.0
8.75,1.2091,0.07591,0.06147,-0.0729,0.306,1.0
9.0,1.1802,0.08131,0.06704,-0.0697,0.3013,1.0
9.25,1.2062,0.08244,0.06823,-0.0686,0.294,1.0
9.5,1.1472,0.09127,0.07721,-0.0667,0.2905,1.0
9.75,1.1119,0.09908,0.08509,-0.0673,0.2853,1.0
10.0,1.1236,0.10152,0.08763,-0.0661,0.2793,1.0
10.25,1.0909,0.1104,0.09653,-0.0688,0.2758,1.0
10.5,1.0639,0.11882,0.10497,-0.072,0.2716,1.0
10.75,1.0629,0.12324,0.10947,-0.0725,0.2659,1.0
11.0,1.0623,0.12755,0.11382,-0.0729,0.2604,1.0
11.25,1.0454,0.13418,0.12048,-0.0753,0.2557,1.0
11.5,1.0411,0.13935,0.1257,-0.0766,0.2524,1.0
11.75,1.0507,0.1426,0.12905,-0.0764,0.2479,1.0
12.0,1.0411,0.14819,0.13465,-0.0784,0.2437,1.0
12.25,1.034,0.15325,0.13975,-0.0801,0.2387,1.0
12.5,1.0398,0.15691,0.14349,-0.0805,0.2339,1.0
12.75,1.0499,0.16052,0.14718,-0.0806,0.231,1.0
13.0,1.0395,0.16622,0.15291,-0.0833,0.2288,1.0
13.25,1.0342,0.17105,0.15778,-0.0855,0.2252,1.0
13.5,1.037,0.17489,0.16172,-0.0865,0.2203,1.0
13.75,1.0526,0.17774,0.16467,-0.0858,0.2153,1.0
14.0,1.0489,0.18273,0.16971,-0.0882,0.2143,1.0
14.25,1.0481,0.18743,0.17446,-0.0904,0.2137,1.0
14.5,1.0469,0.19183,0.17891,-0.0925,0.2125,1.0
14.75,1.0465,0.19581,0.18295,-0.0945,0.2102,1.0
15.0,1.0488,0.19946,0.18666,-0.096,0.207,1.0
15.25,1.0551,0.20304,0.19032,-0.0971,0.2037,1.0
15.5,1.0596,0.20698,0.19437,-0.0987,0.203,1.0
15.75,1.0605,0.21114,0.19859,-0.101,0.2047,1.0
16.0,1.0626,0.2153,0.20281,-0.1032,0.2071,1.0
16.25,1.0669,0.2195,0.20709,-0.1052,0.2098,1.0
16.5,1.0726,0.22359,0.21127,-0.1069,0.2117,1.0
16.75,1.0781,0.22746,0.21524,-0.1087,0.2124,1.0
17.0,1.0832,0.23115,0.21902,-0.1104,0.2125,1.0
