Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.0,-0.3329,0.10654,0.09951,-0.0231,1.0,0.0965
-6.75,-0.3284,0.10416,0.09722,-0.0248,1.0,0.097
-6.5,-0.3189,0.09877,0.09184,-0.021,1.0,0.0987
-6.25,-0.3119,0.09554,0.08865,-0.0199,1.0,0.1008
-6.0,-0.3059,0.0929,0.08607,-0.0198,1.0,0.1032
-5.75,-0.2998,0.09051,0.08374,-0.0205,1.0,0.1061
-5.5,-0.2917,0.08876,0.08204,-0.0239,1.0,0.1099
-5.25,-0.2782,0.08714,0.08044,-0.03,1.0,0.1117
-5.0,-0.2749,0.08288,0.07628,-0.0251,1.0,0.1142
-4.75,-0.2665,0.08016,0.07361,-0.0243,1.0,0.119
-4.5,-0.2432,0.07891,0.07229,-0.0333,1.0,0.1264
-4.25,-0.2409,0.07505,0.06856,-0.0287,1.0,0.129
-4.0,-0.2304,0.07245,0.066,-0.0282,1.0,0.1342
-3.75,-0.2062,0.07034,0.06383,-0.0346,1.0,0.1419
-3.5,-0.1996,0.06734,0.06094,-0.0321,1.0,0.1452
-3.25,-0.1641,0.06473,0.0582,-0.0394,0.9959,0.1571
-3.0,-0.1188,0.06115,0.05452,-0.0468,0.9845,0.1719
-2.75,-0.0806,0.05764,0.05097,-0.0517,0.9704,0.1876
-2.5,-0.0452,0.05433,0.04763,-0.0554,0.9546,0.205
-2.25,-0.0072,0.05139,0.04465,-0.0598,0.9378,0.2343
-1.75,0.1214,0.04286,0.03497,-0.0789,0.9026,0.1083
-1.5,0.1669,0.0397,0.03139,-0.0829,0.8828,0.0941
-1.25,0.2082,0.03695,0.02838,-0.086,0.8633,0.0891
-1.0,0.2511,0.03448,0.02537,-0.0887,0.8403,0.0843
-0.75,0.2966,0.0325,0.02277,-0.0915,0.8191,0.082
-0.5,0.3399,0.03068,0.02048,-0.094,0.7967,0.0824
-0.25,0.3812,0.02892,0.01863,-0.0967,0.7754,0.0878
0.0,0.4237,0.02761,0.01685,-0.0988,0.7547,0.0916
0.25,0.4633,0.0265,0.01525,-0.1003,0.7355,0.0927
0.5,0.5043,0.02565,0.01387,-0.1021,0.718,0.0947
0.75,0.5456,0.02496,0.01275,-0.1041,0.7019,0.0992
1.0,0.583,0.02458,0.01207,-0.1056,0.687,0.1096
1.25,0.6198,0.02416,0.01145,-0.1069,0.6735,0.1157
1.5,0.6545,0.02394,0.01105,-0.1079,0.6616,0.123
1.75,0.6894,0.0238,0.01081,-0.109,0.6514,0.1397
2.0,0.7217,0.02374,0.0108,-0.1099,0.6414,0.1574
2.25,0.7553,0.02365,0.01088,-0.1109,0.6332,0.1907
2.5,0.7992,0.0225,0.01107,-0.1144,0.6248,1.0
2.75,0.8278,0.02301,0.01135,-0.1143,0.6172,1.0
3.0,0.8562,0.02353,0.01173,-0.1143,0.6098,1.0
3.25,0.8845,0.02408,0.01222,-0.1143,0.6034,1.0
3.5,0.9109,0.02468,0.01282,-0.114,0.5968,1.0
3.75,0.9384,0.02522,0.01329,-0.1137,0.5891,1.0
4.0,0.9628,0.02576,0.01385,-0.1128,0.5789,1.0
4.25,0.9861,0.02626,0.01438,-0.1117,0.5667,1.0
4.5,1.0091,0.02666,0.01476,-0.1102,0.5525,1.0
4.75,1.0316,0.02702,0.01513,-0.1087,0.5378,1.0
5.0,1.0539,0.02739,0.01552,-0.1072,0.5236,1.0
5.25,1.0761,0.02775,0.01592,-0.1056,0.5097,1.0
5.5,1.0976,0.02808,0.01636,-0.1039,0.4953,1.0
5.75,1.1179,0.02839,0.01676,-0.102,0.4795,1.0
6.0,1.1371,0.02867,0.01713,-0.0999,0.4621,1.0
6.25,1.1563,0.02897,0.01755,-0.0978,0.4453,1.0
6.5,1.1751,0.02926,0.01797,-0.0957,0.4274,1.0
6.75,1.1927,0.02957,0.01844,-0.0933,0.4075,1.0
7.0,1.2065,0.02989,0.01885,-0.0903,0.3796,1.0
7.25,1.2172,0.03041,0.01955,-0.0872,0.3388,1.0
7.5,1.2273,0.03098,0.02,-0.084,0.2771,1.0
7.75,1.233,0.03213,0.02053,-0.0804,0.2343,1.0
8.0,1.2396,0.03375,0.02188,-0.0776,0.2038,1.0
8.25,1.2475,0.03534,0.02344,-0.075,0.1845,1.0
8.5,1.2557,0.03687,0.02497,-0.0725,0.1744,1.0
8.75,1.2639,0.03835,0.02655,-0.07,0.1669,1.0
9.0,1.2685,0.03998,0.02821,-0.0672,0.1593,1.0
9.25,1.2706,0.04179,0.03006,-0.0644,0.1501,1.0
9.5,1.2734,0.04362,0.03199,-0.062,0.1421,1.0
9.75,1.2763,0.04552,0.03402,-0.0597,0.1368,1.0
10.0,1.2778,0.04764,0.03624,-0.0577,0.1309,1.0
10.25,1.2781,0.04998,0.03879,-0.0562,0.1228,1.0
10.5,1.2783,0.05249,0.04142,-0.0549,0.1173,1.0
10.75,1.2826,0.05476,0.04399,-0.0538,0.1127,1.0
11.0,1.2809,0.05777,0.04713,-0.0533,0.1059,1.0
11.25,1.283,0.0606,0.05025,-0.0531,0.0987,1.0
11.5,1.2846,0.06355,0.05346,-0.0528,0.0937,1.0
11.75,1.2855,0.06676,0.05694,-0.053,0.0855,1.0
12.0,1.2859,0.07017,0.06065,-0.0533,0.0734,1.0
12.25,1.2864,0.07359,0.06438,-0.0535,0.0598,1.0
12.5,1.2804,0.07786,0.06866,-0.0544,0.0445,1.0
12.75,1.2719,0.08256,0.07327,-0.0555,0.0385,1.0
13.0,1.2641,0.08723,0.07795,-0.0564,0.0358,1.0
13.25,1.2569,0.09194,0.08275,-0.0574,0.0343,1.0
13.5,1.2493,0.0968,0.08779,-0.0585,0.0331,1.0
13.75,1.2411,0.10187,0.093,-0.0599,0.0322,1.0
14.0,1.2327,0.10716,0.09844,-0.0615,0.0315,1.0
14.25,1.224,0.11266,0.10409,-0.0634,0.0309,1.0
14.5,1.2152,0.11836,0.10995,-0.0655,0.0304,1.0
14.75,1.2065,0.12423,0.11597,-0.0679,0.03,1.0
15.0,1.1982,0.13025,0.12213,-0.0704,0.0296,1.0
15.25,1.1904,0.13634,0.12835,-0.0732,0.0293,1.0
15.5,1.1832,0.14244,0.13458,-0.076,0.029,1.0
15.75,1.1771,0.1485,0.14074,-0.0789,0.0288,1.0
16.0,1.1719,0.15447,0.1468,-0.0819,0.0285,1.0
16.5,1.1625,0.16683,0.15931,-0.0881,0.028,1.0
16.75,1.157,0.17372,0.1663,-0.0917,0.028,1.0
17.0,1.1511,0.18111,0.17377,-0.0956,0.028,1.0
