Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.0,-0.3566,0.11587,0.10887,-0.0098,1.0,0.0736
-6.75,-0.3597,0.11381,0.1069,-0.0089,1.0,0.0748
-6.5,-0.36,0.11162,0.10479,-0.0088,1.0,0.0762
-6.25,-0.3595,0.10962,0.10286,-0.0096,1.0,0.0775
-6.0,-0.3571,0.10783,0.10114,-0.0116,1.0,0.0785
-5.75,-0.3513,0.10596,0.09931,-0.0144,1.0,0.0791
-5.5,-0.3423,0.10383,0.0972,-0.0175,1.0,0.0794
-5.25,-0.3363,0.09943,0.0929,-0.0161,1.0,0.08
-5.0,-0.3314,0.09513,0.08866,-0.0135,1.0,0.0813
-4.75,-0.3237,0.09177,0.08535,-0.0129,1.0,0.0826
-4.5,-0.3142,0.08868,0.08227,-0.0133,1.0,0.084
-4.25,-0.3028,0.08566,0.07927,-0.0142,1.0,0.0855
-4.0,-0.2892,0.08267,0.07629,-0.0157,1.0,0.0873
-3.75,-0.2728,0.07974,0.07334,-0.0178,1.0,0.0895
-3.5,-0.248,0.07732,0.07082,-0.0225,1.0,0.0926
-3.25,-0.221,0.07495,0.06828,-0.0268,1.0,0.0936
-3.0,-0.1977,0.07217,0.06538,-0.0291,1.0,0.0938
-2.75,-0.1765,0.0691,0.06222,-0.0304,1.0,0.0938
-2.25,-0.133,0.05984,0.05279,-0.0313,1.0,0.0537
-2.0,-0.1117,0.05701,0.04989,-0.0318,1.0,0.0519
-1.75,-0.0867,0.05429,0.04703,-0.0329,1.0,0.0503
-1.5,-0.0607,0.05178,0.04435,-0.0339,1.0,0.0499
-1.25,-0.018,0.0492,0.04147,-0.0379,0.995,0.0509
-1.0,0.033,0.04657,0.03844,-0.0429,0.9864,0.0524
-0.75,0.0815,0.04401,0.03544,-0.0469,0.9771,0.0533
-0.5,0.128,0.04155,0.03248,-0.0501,0.9674,0.0541
-0.25,0.173,0.03939,0.02989,-0.0531,0.9567,0.0562
0.0,0.218,0.03756,0.0277,-0.0559,0.9447,0.0613
0.25,0.2681,0.03581,0.02542,-0.0594,0.9315,0.0734
0.5,0.3204,0.03444,0.02352,-0.0636,0.9165,0.106
0.75,0.3599,0.03351,0.02229,-0.0656,0.8943,0.1389
1.0,0.406,0.03247,0.02103,-0.0686,0.8712,0.1506
1.25,0.454,0.03151,0.0198,-0.0715,0.8463,0.1514
1.5,0.4978,0.03062,0.01874,-0.0736,0.8167,0.1523
1.75,0.5429,0.0297,0.01768,-0.0758,0.7846,0.1537
2.0,0.5873,0.02889,0.01675,-0.0778,0.7439,0.1564
2.25,0.6388,0.02788,0.01562,-0.0809,0.6938,0.1652
2.5,0.7309,0.02615,0.0133,-0.0909,0.6468,0.1856
2.75,0.7919,0.026,0.01299,-0.0969,0.6003,0.2272
3.0,0.8632,0.02574,0.01342,-0.106,0.5527,1.0
3.25,0.8957,0.02637,0.01354,-0.1063,0.5264,1.0
3.5,0.927,0.02706,0.01383,-0.1066,0.5029,1.0
3.75,0.9583,0.0278,0.01429,-0.1071,0.4806,1.0
4.0,0.9898,0.02855,0.01482,-0.1076,0.4593,1.0
4.25,1.0175,0.02926,0.01546,-0.1075,0.4386,1.0
4.5,1.044,0.02996,0.01612,-0.107,0.4188,1.0
4.75,1.0695,0.03065,0.01678,-0.1064,0.3998,1.0
5.0,1.0943,0.03134,0.01744,-0.1057,0.3819,1.0
5.25,1.1192,0.03205,0.01817,-0.1049,0.3653,1.0
5.5,1.1437,0.03277,0.01889,-0.1041,0.3497,1.0
5.75,1.1676,0.03351,0.01963,-0.1033,0.3352,1.0
6.0,1.1917,0.03429,0.02038,-0.1024,0.3224,1.0
6.25,1.216,0.03509,0.02123,-0.1016,0.311,1.0
6.5,1.2389,0.03602,0.02227,-0.1007,0.2993,1.0
6.75,1.2615,0.03695,0.02323,-0.0996,0.2892,1.0
7.0,1.2839,0.03787,0.02418,-0.0985,0.2801,1.0
7.25,1.3053,0.03904,0.02556,-0.0974,0.2714,1.0
7.5,1.3272,0.04004,0.02658,-0.0963,0.2638,1.0
7.75,1.3452,0.04136,0.02813,-0.0946,0.2556,1.0
8.0,1.3652,0.04245,0.0293,-0.0932,0.2485,1.0
8.25,1.3812,0.04396,0.03105,-0.0913,0.2418,1.0
8.5,1.3973,0.04534,0.03261,-0.0893,0.2352,1.0
8.75,1.4141,0.0467,0.03406,-0.0875,0.2291,1.0
9.0,1.4222,0.04851,0.03623,-0.0845,0.2225,1.0
9.25,1.4393,0.04982,0.0376,-0.0828,0.217,1.0
9.5,1.4438,0.0519,0.03999,-0.0795,0.2116,1.0
9.75,1.4469,0.05395,0.04233,-0.076,0.2059,1.0
10.0,1.4648,0.05513,0.04353,-0.0744,0.2005,1.0
10.25,1.455,0.05784,0.04662,-0.0695,0.1964,1.0
10.5,1.4426,0.06055,0.04965,-0.0644,0.1924,1.0
10.75,1.4412,0.06267,0.05194,-0.0609,0.1882,1.0
11.0,1.4542,0.06415,0.05346,-0.059,0.1837,1.0
11.25,1.4208,0.06841,0.05811,-0.0532,0.1814,1.0
11.5,1.3849,0.07349,0.0635,-0.0487,0.1792,1.0
11.75,1.3419,0.08005,0.07031,-0.046,0.1774,1.0
12.0,1.2759,0.09102,0.08148,-0.047,0.1762,1.0
12.25,1.2004,0.10739,0.0979,-0.0543,0.1734,1.0
12.5,1.2128,0.10865,0.09925,-0.0529,0.1702,1.0
12.75,1.1364,0.12936,0.11988,-0.0644,0.1657,1.0
13.0,1.1077,0.13981,0.13029,-0.0695,0.1612,1.0
13.25,1.1081,0.14383,0.13439,-0.0704,0.1572,1.0
13.5,1.1268,0.1437,0.13437,-0.0683,0.1541,1.0
13.75,1.0948,0.1553,0.14591,-0.0749,0.15,1.0
14.0,1.085,0.16216,0.15279,-0.0781,0.1474,1.0
