Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.0,-0.3025,0.1029,0.09543,-0.0169,1.0,0.0978
-6.75,-0.302,0.1007,0.0933,-0.0156,1.0,0.0999
-6.5,-0.3025,0.09881,0.09149,-0.0146,1.0,0.1019
-6.25,-0.3032,0.09708,0.08985,-0.0142,1.0,0.1042
-6.0,-0.3044,0.09592,0.08875,-0.0151,1.0,0.1071
-5.75,-0.3028,0.09546,0.08834,-0.0181,1.0,0.1086
-5.5,-0.2977,0.09355,0.08649,-0.02,1.0,0.1095
-5.25,-0.2944,0.08893,0.08196,-0.0155,1.0,0.1117
-5.0,-0.2893,0.08615,0.07925,-0.014,1.0,0.1145
-4.75,-0.2829,0.08385,0.07698,-0.0141,1.0,0.1183
-4.5,-0.2692,0.08287,0.07595,-0.0194,1.0,0.1242
-4.25,-0.2588,0.08014,0.07327,-0.0207,1.0,0.126
-4.0,-0.2548,0.07668,0.0699,-0.0174,1.0,0.1292
-3.75,-0.2437,0.07444,0.06769,-0.0179,1.0,0.1372
-3.5,-0.228,0.0721,0.06533,-0.0208,1.0,0.1436
-3.25,-0.1931,0.07022,0.06331,-0.0277,0.9944,0.1583
-3.0,-0.1725,0.06584,0.05905,-0.0271,0.9864,0.1663
-2.75,-0.1365,0.06278,0.05594,-0.0323,0.9763,0.1817
-2.5,-0.1002,0.05987,0.05297,-0.037,0.966,0.2003
-2.25,-0.0653,0.05713,0.05018,-0.0413,0.9545,0.2288
-2.0,-0.0378,0.05455,0.04762,-0.0431,0.9422,0.2628
-1.25,0.118,0.04609,0.03797,-0.0619,0.9036,0.1372
-1.0,0.1591,0.04338,0.03481,-0.0641,0.8892,0.1047
-0.75,0.1958,0.04117,0.03228,-0.0656,0.874,0.0976
-0.5,0.2312,0.0393,0.03012,-0.0667,0.8582,0.0977
-0.25,0.2688,0.03764,0.02802,-0.0677,0.842,0.0955
0.0,0.3052,0.03607,0.02607,-0.0684,0.8249,0.0934
0.25,0.3411,0.03465,0.02429,-0.0689,0.8072,0.0939
0.5,0.3786,0.03305,0.0226,-0.0703,0.7894,0.0979
0.75,0.4219,0.03178,0.02097,-0.0723,0.7718,0.0991
1.0,0.4699,0.03062,0.01943,-0.0752,0.7539,0.1024
