Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.0,-0.6543,0.09281,0.0729,0.002,1.0,0.3772
-6.75,-0.6488,0.08988,0.06976,0.0033,1.0,0.3831
-6.5,-0.6368,0.08736,0.06708,0.0041,1.0,0.389
-6.25,-0.6287,0.08453,0.06389,0.0051,1.0,0.3972
-6.0,-0.612,0.08242,0.06169,0.0056,1.0,0.404
-5.75,-0.5964,0.08015,0.05913,0.006,1.0,0.4134
-5.5,-0.5768,0.07837,0.05724,0.0063,1.0,0.4222
-5.25,-0.557,0.07656,0.05535,0.0066,1.0,0.4354
-5.0,-0.5357,0.07493,0.05385,0.0073,1.0,0.4562
-4.75,-0.5144,0.07355,0.05263,0.0078,1.0,0.4781
-4.5,-0.4941,0.07191,0.05116,0.0086,1.0,0.5177
-4.0,-0.1708,0.07812,0.05716,-0.0355,1.0,1.0
-3.75,-0.1678,0.07707,0.05555,-0.0334,1.0,1.0
-3.5,-0.1614,0.0765,0.05451,-0.0315,1.0,1.0
-3.25,-0.1536,0.07616,0.05379,-0.0295,1.0,1.0
-3.0,-0.1448,0.07599,0.05322,-0.0276,1.0,1.0
-2.75,-0.1354,0.07596,0.05281,-0.0256,1.0,1.0
-2.5,-0.1261,0.07602,0.05259,-0.0237,1.0,1.0
-2.25,-0.1166,0.07621,0.05248,-0.0217,1.0,1.0
-2.0,-0.1068,0.07646,0.05245,-0.0197,1.0,1.0
-1.75,-0.0971,0.07679,0.05252,-0.0178,1.0,1.0
-1.5,-0.0875,0.0772,0.0527,-0.0158,1.0,1.0
-1.25,-0.078,0.07767,0.05295,-0.0139,1.0,1.0
-1.0,-0.0685,0.07822,0.0533,-0.012,1.0,1.0
-0.75,-0.059,0.07882,0.0537,-0.0102,1.0,1.0
-0.5,-0.0496,0.07948,0.0542,-0.0084,1.0,1.0
-0.25,-0.0401,0.08018,0.05475,-0.0066,1.0,1.0
0.0,-0.0308,0.08096,0.05537,-0.0048,1.0,1.0
0.25,-0.0214,0.08176,0.05603,-0.0032,1.0,1.0
0.5,-0.0118,0.0826,0.05676,-0.0016,1.0,1.0
0.75,-0.0022,0.08349,0.05754,0.0,1.0,1.0
1.0,0.0072,0.08443,0.05838,0.0015,1.0,1.0
1.25,0.0167,0.0854,0.05925,0.003,1.0,1.0
1.5,0.026,0.08643,0.06021,0.0044,1.0,1.0
1.75,0.0357,0.08745,0.06114,0.0058,1.0,1.0
