r/R,Contour file,Aero file
0.0,DJI9443-airfoilsec6.csv,polar_rR00000.csv
0.0857143,DJI9443-airfoilsec6.csv,polar_rR00857.csv
0.185714,DJI9443-airfoilsec4.csv,polar_rR01857.csv
0.371429,DJI9443-airfoilsec3.csv,polar_rR03714.csv
0.714286,DJI9443-airfoilsec2.csv,polar_rR07143.csv
0.942857,DJI9443-airfoilsec1.csv,polar_rR09429.csv
1.0,DJI9443-airfoilsec1.csv,polar_rR10000.csv
