Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0.5,0.2225,0.03694,0.02603,-0.0789,0.8991,1.0
1.0,0.2866,0.03884,0.0275,-0.0825,0.8762,1.0
1.5,0.3413,0.04077,0.02913,-0.0844,0.8531,1.0
2.0,0.4046,0.04273,0.03084,-0.0874,0.8322,1.0
2.5,0.4476,0.04496,0.03292,-0.0875,0.8103,1.0
3.0,0.4927,0.0473,0.03516,-0.088,0.7893,1.0
3.5,0.543,0.04964,0.03745,-0.0889,0.7693,1.0
4.0,0.5968,0.05199,0.0398,-0.0902,0.75,1.0
4.5,0.6195,0.05527,0.04311,-0.0882,0.7284,1.0
5.0,0.6556,0.05833,0.04625,-0.0876,0.7076,1.0
5.5,0.7016,0.06116,0.04918,-0.0878,0.6871,1.0
6.0,0.7282,0.06484,0.05299,-0.0865,0.6653,1.0
6.5,0.7537,0.06869,0.05699,-0.0852,0.6426,1.0
