Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-41.5,-1.1536,0.4312,0.42579,0.2333,1.0,0.0145
-41.0,-1.1474,0.42871,0.42324,0.2276,1.0,0.0149
-40.5,-1.1405,0.42623,0.42072,0.2218,1.0,0.0153
-40.0,-1.133,0.42363,0.41808,0.216,1.0,0.0158
-39.5,-1.1251,0.42089,0.4153,0.2102,1.0,0.0164
-39.0,-1.1167,0.418,0.41235,0.2044,1.0,0.0169
-38.5,-1.1076,0.41502,0.40933,0.1985,1.0,0.0172
-37.5,-1.0889,0.40863,0.40287,0.1868,1.0,0.0176
-37.0,-1.0796,0.40497,0.39917,0.1814,1.0,0.018
-36.5,-1.0696,0.40137,0.39552,0.1758,1.0,0.0186
-36.0,-1.0591,0.39765,0.39176,0.1702,1.0,0.0193
-35.5,-1.0481,0.39378,0.38786,0.1645,1.0,0.02
-35.0,-1.0365,0.3898,0.38384,0.1588,1.0,0.0206
-34.0,-1.0127,0.38185,0.37583,0.1474,1.0,0.021
-33.5,-1.0008,0.37725,0.37119,0.1423,1.0,0.0216
-33.0,-0.9882,0.37299,0.3669,0.137,1.0,0.0223
-32.5,-0.9753,0.36866,0.36252,0.1316,1.0,0.0232
-32.0,-0.9618,0.36425,0.35808,0.1261,1.0,0.0241
-31.5,-0.9478,0.36019,0.35398,0.1203,1.0,0.0246
-31.0,-0.9339,0.35602,0.34982,0.1146,1.0,0.0248
-30.5,-0.92,0.35022,0.34397,0.1101,1.0,0.0255
-30.0,-0.9056,0.34544,0.33916,0.1051,1.0,0.0263
-29.5,-0.8907,0.34063,0.33432,0.1,1.0,0.0273
-29.0,-0.8755,0.33583,0.3295,0.0947,1.0,0.0285
-28.0,-0.8448,0.32598,0.3196,0.0842,1.0,0.0295
-27.5,-0.829,0.32045,0.31405,0.0797,1.0,0.0305
-27.0,-0.8129,0.3153,0.30888,0.0749,1.0,0.0316
-26.5,-0.7965,0.31014,0.30369,0.07,1.0,0.0329
-26.0,-0.7802,0.30555,0.29909,0.0646,1.0,0.0339
-25.5,-0.7643,0.30055,0.2941,0.0594,1.0,0.0344
-25.0,-0.7469,0.29394,0.28746,0.0557,1.0,0.0357
-24.5,-0.7298,0.2885,0.282,0.0513,1.0,0.0372
-24.0,-0.7127,0.28318,0.27667,0.0466,1.0,0.0388
-23.5,-0.6969,0.27935,0.27283,0.0409,1.0,0.0398
-23.0,-0.6797,0.27282,0.26631,0.0367,1.0,0.0404
-22.5,-0.6611,0.26613,0.2596,0.0334,1.0,0.0418
-22.0,-0.6434,0.26053,0.25398,0.0293,1.0,0.0441
-21.5,-0.6273,0.25604,0.2495,0.0241,1.0,0.0462
-21.0,-0.6134,0.25212,0.24562,0.0187,1.0,0.0468
-20.5,-0.5918,0.24311,0.23658,0.0167,1.0,0.0484
-20.0,-0.5737,0.23719,0.23065,0.0132,1.0,0.0505
-19.5,-0.557,0.23174,0.2252,0.0089,1.0,0.0531
-19.0,-0.5507,0.23139,0.2249,0.0022,1.0,0.0544
-18.5,-0.5235,0.21946,0.21296,0.0016,1.0,0.0565
-18.0,-0.5057,0.21346,0.20696,-0.0015,1.0,0.0594
-17.5,-0.4918,0.20857,0.20209,-0.0059,1.0,0.0625
-17.0,-0.4936,0.20901,0.20259,-0.0125,1.0,0.0634
-16.5,-0.4591,0.1953,0.18885,-0.0119,1.0,0.0658
-16.0,-0.4422,0.18926,0.18283,-0.0145,1.0,0.0698
-15.5,-0.4408,0.18719,0.18081,-0.0201,1.0,0.0734
-15.0,-0.4188,0.17758,0.17121,-0.0214,1.0,0.0753
-14.5,-0.3999,0.17079,0.16444,-0.0229,1.0,0.0789
-14.0,-0.3906,0.16558,0.15926,-0.0261,1.0,0.0837
-13.5,-0.4089,0.16525,0.15905,-0.0326,1.0,0.0854
-13.0,-0.3645,0.15238,0.14614,-0.0299,1.0,0.0903
-12.5,-0.3594,0.14742,0.14123,-0.0328,1.0,0.0966
-12.0,-0.3795,0.14493,0.13889,-0.0387,1.0,0.0985
-11.5,-0.3376,0.13409,0.12801,-0.0355,1.0,0.1032
-11.0,-0.3353,0.129,0.12299,-0.0376,1.0,0.11
-10.5,-0.345,0.12358,0.11771,-0.0404,1.0,0.1134
