Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-42.5,-1.1655,0.43581,0.43037,0.2449,1.0,0.0145
-42.0,-1.1601,0.43344,0.42795,0.2392,1.0,0.0149
-41.5,-1.1541,0.43112,0.42559,0.2334,1.0,0.0153
-41.0,-1.1475,0.4287,0.42311,0.2276,1.0,0.0157
-40.5,-1.1404,0.42615,0.42051,0.2217,1.0,0.0162
-40.0,-1.1328,0.42347,0.41779,0.2159,1.0,0.0167
-39.5,-1.1246,0.4207,0.41498,0.21,1.0,0.0171
-38.5,-1.1071,0.41521,0.40941,0.198,1.0,0.0175
-38.0,-1.0987,0.4116,0.40576,0.1926,1.0,0.0179
-37.5,-1.0895,0.40836,0.40247,0.187,1.0,0.0184
-37.0,-1.0797,0.40494,0.399,0.1814,1.0,0.019
-36.5,-1.0695,0.4013,0.39531,0.1757,1.0,0.0196
-36.0,-1.0588,0.39754,0.39151,0.17,1.0,0.0203
-35.5,-1.0474,0.39389,0.38783,0.1641,1.0,0.0207
-34.5,-1.0249,0.38556,0.37943,0.1531,1.0,0.0213
-34.0,-1.0132,0.38141,0.37525,0.1478,1.0,0.022
-33.5,-1.0009,0.37723,0.37103,0.1423,1.0,0.0227
-33.0,-0.9881,0.37297,0.36673,0.1369,1.0,0.0235
-32.5,-0.9749,0.36871,0.36243,0.1313,1.0,0.0243
-31.5,-0.948,0.35978,0.35346,0.1203,1.0,0.0251
-31.0,-0.9343,0.35486,0.3485,0.1154,1.0,0.0258
-30.5,-0.92,0.3502,0.3438,0.1102,1.0,0.0267
-30.0,-0.9055,0.34547,0.33905,0.105,1.0,0.0277
-29.5,-0.8905,0.34082,0.33437,0.0996,1.0,0.0286
-28.5,-0.8603,0.33079,0.3243,0.0893,1.0,0.0298
-28.0,-0.8447,0.32559,0.31906,0.0846,1.0,0.0308
-27.5,-0.8289,0.32051,0.31397,0.0797,1.0,0.032
-27.0,-0.8127,0.31548,0.30892,0.0747,1.0,0.0332
-26.5,-0.7968,0.31135,0.30477,0.069,1.0,0.034
-26.0,-0.7807,0.30572,0.29913,0.0642,1.0,0.0345
-25.5,-0.7636,0.29939,0.29278,0.0604,1.0,0.0358
-25.0,-0.7467,0.29405,0.28742,0.0558,1.0,0.0375
-24.5,-0.7298,0.28889,0.28224,0.0509,1.0,0.0391
-24.0,-0.7145,0.28564,0.27898,0.045,1.0,0.0399
-23.5,-0.6965,0.27815,0.2715,0.0414,1.0,0.0405
-23.0,-0.6784,0.27187,0.2652,0.0377,1.0,0.042
-22.5,-0.6609,0.26631,0.25963,0.0335,1.0,0.0441
-22.0,-0.6447,0.26191,0.25522,0.0283,1.0,0.0462
-21.5,-0.6297,0.25733,0.25067,0.0232,1.0,0.0469
-21.0,-0.6092,0.24909,0.24242,0.0208,1.0,0.0485
-20.5,-0.5912,0.24323,0.23654,0.017,1.0,0.0507
-20.0,-0.5744,0.23786,0.23118,0.0127,1.0,0.0532
-19.5,-0.5653,0.23664,0.22999,0.0063,1.0,0.0544
-19.0,-0.5407,0.2257,0.21905,0.0051,1.0,0.0562
-18.5,-0.5225,0.21965,0.21299,0.002,1.0,0.0593
-18.0,-0.5079,0.21475,0.2081,-0.0024,1.0,0.0624
-17.5,-0.5072,0.21516,0.20858,-0.0089,1.0,0.0634
-17.0,-0.475,0.2017,0.1951,-0.0088,1.0,0.0656
-16.5,-0.4575,0.19553,0.18894,-0.0114,1.0,0.069
-16.0,-0.4499,0.19212,0.18556,-0.0163,1.0,0.0732
-15.5,-0.4344,0.1845,0.17798,-0.0189,1.0,0.0749
-15.0,-0.4137,0.17724,0.17072,-0.0202,1.0,0.0785
-14.5,-0.4018,0.17176,0.16526,-0.0232,1.0,0.0832
-14.0,-0.4154,0.17147,0.16508,-0.0293,1.0,0.0853
-13.5,-0.3773,0.15892,0.15251,-0.0279,1.0,0.0889
-13.0,-0.3659,0.15332,0.14694,-0.0301,1.0,0.0954
-12.5,-0.3891,0.15281,0.14657,-0.0366,1.0,0.0982
-12.0,-0.3467,0.14061,0.13434,-0.0339,1.0,0.1024
-11.5,-0.3381,0.13496,0.12874,-0.0354,1.0,0.1086
-11.0,-0.3692,0.13361,0.12758,-0.0417,1.0,0.1121
-10.5,-0.3243,0.12291,0.11683,-0.0374,1.0,0.1193
-10.0,-0.347,0.12007,0.11418,-0.0407,1.0,0.1263
-9.5,-0.3306,0.11209,0.10627,-0.0388,1.0,0.13
-9.0,-0.3266,0.10702,0.1013,-0.0371,1.0,0.137
-8.5,-0.3837,0.10608,0.10068,-0.0367,1.0,0.1419
-8.0,-0.3528,0.09825,0.09286,-0.032,1.0,0.1488
-7.5,-0.3914,0.09597,0.09082,-0.0269,1.0,0.1552
-7.0,-0.463,0.09321,0.08828,-0.0319,1.0,0.158
-6.5,-0.4368,0.08744,0.08263,-0.0199,1.0,0.1647
-6.0,-0.4644,0.08112,0.07634,-0.0269,1.0,0.1752
-5.5,-0.439,0.05572,0.05006,-0.0465,0.9972,0.1011
-5.0,-0.3595,0.04047,0.03291,-0.0615,0.9861,0.0979
-4.5,-0.2795,0.03562,0.02751,-0.069,0.9731,0.1074
-4.0,-0.197,0.03171,0.02278,-0.0756,0.9593,0.121
