Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-43.0,-1.1726,0.43948,0.43489,0.2518,1.0,0.0105
-42.5,-1.1671,0.43709,0.43247,0.2459,1.0,0.0109
-42.0,-1.1611,0.4347,0.43003,0.24,1.0,0.0113
-41.5,-1.1546,0.43215,0.42745,0.2341,1.0,0.0115
-40.5,-1.14,0.42715,0.42238,0.2221,1.0,0.0117
-40.0,-1.1333,0.4244,0.41958,0.2166,1.0,0.012
-39.5,-1.1257,0.42182,0.41697,0.2108,1.0,0.0123
-39.0,-1.1176,0.41907,0.41417,0.205,1.0,0.0127
-38.5,-1.1089,0.41611,0.41117,0.1993,1.0,0.0132
-38.0,-1.0996,0.41293,0.40796,0.1935,1.0,0.0138
-37.5,-1.0899,0.4095,0.40449,0.1877,1.0,0.0141
-36.0,-1.0594,0.39826,0.39315,0.1706,1.0,0.0147
-35.5,-1.0487,0.39448,0.38935,0.1651,1.0,0.0152
-35.0,-1.0376,0.39057,0.3854,0.1596,1.0,0.0157
-34.5,-1.0258,0.3865,0.38129,0.154,1.0,0.0164
-34.0,-1.0136,0.38227,0.37702,0.1484,1.0,0.017
-33.5,-1.0007,0.37803,0.37276,0.1426,1.0,0.0173
-32.5,-0.9755,0.36901,0.36369,0.1319,1.0,0.0178
-32.0,-0.9624,0.36461,0.35926,0.1267,1.0,0.0184
-31.5,-0.9488,0.3601,0.35472,0.1214,1.0,0.0191
-31.0,-0.9347,0.35543,0.35002,0.1161,1.0,0.02
-30.5,-0.92,0.35073,0.34529,0.1105,1.0,0.0206
-29.5,-0.8909,0.34078,0.33531,0.1001,1.0,0.0212
-29.0,-0.876,0.33584,0.33034,0.0953,1.0,0.0219
-28.5,-0.8606,0.33087,0.32534,0.0903,1.0,0.0228
-28.0,-0.8449,0.32578,0.32023,0.0852,1.0,0.0238
-27.5,-0.8288,0.32105,0.31548,0.0796,1.0,0.0246
-27.0,-0.8131,0.31582,0.31026,0.0744,1.0,0.0249
-26.5,-0.7968,0.30989,0.30431,0.0703,1.0,0.0256
-26.0,-0.7803,0.30462,0.29901,0.0657,1.0,0.0266
-25.5,-0.7636,0.29924,0.29362,0.061,1.0,0.0277
-25.0,-0.7467,0.29396,0.28832,0.0559,1.0,0.0288
-24.5,-0.731,0.28961,0.28398,0.0501,1.0,0.0292
-24.0,-0.7129,0.28254,0.27689,0.0469,1.0,0.0302
-23.5,-0.6955,0.27701,0.27135,0.0427,1.0,0.0315
-23.0,-0.6781,0.27143,0.26576,0.0381,1.0,0.0329
