Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.0,-1.2353,0.03539,0.0329,-0.0482,1.0,0.0103
-11.75,-1.2478,0.03101,0.02831,-0.0492,1.0,0.0104
-11.5,-1.2578,0.02746,0.02454,-0.0485,1.0,0.0106
-11.25,-1.2644,0.02463,0.02148,-0.0463,1.0,0.0108
-11.0,-1.2669,0.0224,0.01903,-0.043,1.0,0.0111
-10.75,-1.263,0.02075,0.0172,-0.0392,1.0,0.0113
-10.5,-1.2554,0.01945,0.01571,-0.0351,1.0,0.0116
-10.25,-1.2406,0.01826,0.01435,-0.0318,1.0,0.012
-10.0,-1.2222,0.01722,0.01316,-0.0288,1.0,0.0124
-9.75,-1.2014,0.01633,0.01212,-0.0259,1.0,0.0129
-9.5,-1.1792,0.01556,0.01122,-0.0231,1.0,0.0134
-9.25,-1.1567,0.01489,0.01043,-0.0203,1.0,0.014
-9.0,-1.1344,0.0143,0.00975,-0.0175,1.0,0.0146
-8.75,-1.107,0.01374,0.00911,-0.0156,0.9993,0.0154
-8.5,-1.0711,0.01318,0.00846,-0.0153,0.9971,0.0164
-8.25,-1.0345,0.01263,0.00784,-0.0152,0.995,0.0174
-8.0,-0.9983,0.01214,0.00729,-0.0151,0.9926,0.0186
-7.75,-0.9637,0.01172,0.00681,-0.0147,0.9881,0.0198
-7.5,-0.9276,0.01129,0.00634,-0.0147,0.984,0.0213
-7.25,-0.8937,0.01092,0.00593,-0.0142,0.9783,0.0232
-7.0,-0.8596,0.01057,0.00554,-0.0139,0.9714,0.0249
-6.75,-0.8277,0.01024,0.00519,-0.0131,0.9626,0.0271
-6.5,-0.7965,0.00996,0.00486,-0.0122,0.9526,0.0293
-6.25,-0.7664,0.00968,0.00455,-0.0112,0.9404,0.0323
-6.0,-0.7363,0.00943,0.00426,-0.0102,0.9267,0.0352
-5.75,-0.7061,0.00921,0.00399,-0.0092,0.9119,0.0386
-5.5,-0.676,0.00898,0.00372,-0.0083,0.8956,0.0433
-5.25,-0.6456,0.00879,0.00348,-0.0075,0.8781,0.0478
-5.0,-0.6152,0.00861,0.00325,-0.0067,0.8594,0.0534
-4.75,-0.5848,0.00842,0.00303,-0.006,0.8396,0.0608
-4.5,-0.5542,0.00825,0.00282,-0.0054,0.8187,0.0687
-4.25,-0.5237,0.00809,0.00262,-0.0048,0.7972,0.0785
-4.0,-0.4931,0.00794,0.00244,-0.0043,0.7751,0.0891
-3.75,-0.4624,0.00779,0.00227,-0.0038,0.7529,0.102
-3.5,-0.4318,0.00765,0.00211,-0.0033,0.7301,0.1167
-3.25,-0.4012,0.00752,0.00197,-0.0029,0.7069,0.1327
-3.0,-0.3704,0.00739,0.00183,-0.0026,0.6845,0.1504
-2.75,-0.3398,0.00727,0.00171,-0.0022,0.6611,0.1696
-2.5,-0.3092,0.00715,0.00159,-0.0019,0.6386,0.1908
-2.25,-0.2783,0.00705,0.0015,-0.0017,0.6164,0.2121
-2.0,-0.2475,0.00695,0.00141,-0.0014,0.5937,0.2339
-1.75,-0.2168,0.00687,0.00133,-0.0012,0.5712,0.2574
-1.5,-0.1858,0.00679,0.00127,-0.001,0.5492,0.2796
-1.25,-0.155,0.00672,0.00121,-0.0008,0.5272,0.3036
-0.75,-0.093,0.00663,0.00114,-0.0004,0.4838,0.3489
-0.5,-0.062,0.00661,0.00111,-0.0003,0.4609,0.3721
-0.25,-0.0311,0.00659,0.0011,-0.0001,0.4387,0.3942
0.0,-0.0,0.00658,0.00109,-0.0,0.4168,0.4171
0.25,0.0311,0.00659,0.0011,0.0001,0.3945,0.4391
0.5,0.062,0.00661,0.00111,0.0003,0.3719,0.461
0.75,0.0931,0.00663,0.00114,0.0004,0.3492,0.4831
1.0,0.124,0.00668,0.00117,0.0006,0.3257,0.5055
1.25,0.155,0.00673,0.00121,0.0008,0.3034,0.527
1.5,0.1858,0.00679,0.00127,0.001,0.2794,0.549
1.75,0.2168,0.00687,0.00133,0.0012,0.2571,0.5712
2.0,0.2476,0.00695,0.00141,0.0014,0.2339,0.5935
2.25,0.2783,0.00705,0.0015,0.0017,0.2121,0.6162
2.5,0.3092,0.00715,0.00159,0.0019,0.1907,0.6388
2.75,0.3398,0.00727,0.00171,0.0022,0.1698,0.6616
3.0,0.3705,0.00739,0.00183,0.0026,0.1504,0.6844
3.25,0.4012,0.00752,0.00197,0.0029,0.1328,0.7071
3.5,0.4318,0.00765,0.00211,0.0033,0.1169,0.7297
3.75,0.4624,0.00779,0.00227,0.0038,0.102,0.7529
4.0,0.4931,0.00794,0.00244,0.0043,0.0891,0.7752
4.25,0.5237,0.00809,0.00262,0.0048,0.0785,0.7973
4.5,0.5542,0.00825,0.00282,0.0054,0.0685,0.8188
4.75,0.5848,0.00842,0.00303,0.006,0.0607,0.8399
5.0,0.6152,0.00861,0.00325,0.0067,0.0534,0.8594
5.25,0.6456,0.00879,0.00348,0.0075,0.0478,0.878
5.5,0.676,0.00898,0.00372,0.0083,0.0433,0.8955
5.75,0.7061,0.00921,0.00399,0.0092,0.0386,0.9118
6.0,0.7363,0.00943,0.00426,0.0102,0.0352,0.9267
6.5,0.7965,0.00996,0.00486,0.0122,0.0293,0.9527
6.75,0.8278,0.01024,0.00519,0.0131,0.0271,0.9628
7.0,0.8597,0.01056,0.00554,0.0139,0.0249,0.9715
7.25,0.8938,0.01092,0.00593,0.0142,0.0232,0.9784
7.5,0.9277,0.01129,0.00634,0.0146,0.0213,0.9841
7.75,0.9638,0.01172,0.00681,0.0147,0.0198,0.9881
8.0,0.9984,0.01214,0.00729,0.0151,0.0186,0.9926
8.25,1.0347,0.01263,0.00784,0.0152,0.0174,0.995
8.5,1.0712,0.01318,0.00846,0.0153,0.0164,0.9971
8.75,1.1072,0.01374,0.00911,0.0156,0.0154,0.9993
9.0,1.1344,0.01429,0.00975,0.0175,0.0146,1.0
9.25,1.1568,0.01489,0.01043,0.0203,0.0139,1.0
9.5,1.1793,0.01556,0.01122,0.0231,0.0134,1.0
9.75,1.2016,0.01633,0.01212,0.0259,0.0129,1.0
10.0,1.2224,0.01723,0.01316,0.0287,0.0124,1.0
10.25,1.2409,0.01826,0.01435,0.0317,0.012,1.0
10.5,1.2557,0.01945,0.01572,0.0351,0.0116,1.0
10.75,1.2634,0.02076,0.0172,0.0392,0.0113,1.0
11.0,1.2673,0.02241,0.01904,0.0429,0.0111,1.0
11.25,1.2648,0.02465,0.0215,0.0462,0.0108,1.0
11.5,1.2582,0.02748,0.02457,0.0484,0.0106,1.0
11.75,1.2483,0.03104,0.02835,0.0491,0.0104,1.0
12.0,1.2358,0.03545,0.03296,0.048,0.0103,1.0
12.25,1.2217,0.04065,0.03834,0.0454,0.0102,1.0
12.5,1.206,0.04657,0.04442,0.0417,0.0101,1.0
12.75,1.1888,0.05298,0.05096,0.0375,0.01,1.0
13.0,1.1702,0.05968,0.05775,0.0332,0.01,1.0
13.25,1.1506,0.06651,0.06467,0.0291,0.0099,1.0
13.5,1.1296,0.07342,0.07164,0.0251,0.0099,1.0
13.75,1.1078,0.08044,0.07871,0.0212,0.0099,1.0
14.0,1.0854,0.08746,0.08576,0.0174,0.0099,1.0
14.25,1.0626,0.09463,0.09296,0.0134,0.01,1.0
14.5,1.04,0.10184,0.1002,0.0094,0.01,1.0
14.75,1.0175,0.10927,0.10764,0.0052,0.01,1.0
15.0,0.996,0.11671,0.1151,0.0009,0.01,1.0
15.25,0.9758,0.12423,0.12265,-0.0035,0.0099,1.0
15.5,0.9572,0.13177,0.1302,-0.008,0.0099,1.0
15.75,0.94,0.13926,0.13772,-0.0124,0.0099,1.0
16.0,0.9248,0.14676,0.14524,-0.0169,0.0098,1.0
16.25,0.9114,0.15423,0.15273,-0.0215,0.0097,1.0
16.5,0.8994,0.16164,0.16016,-0.026,0.0095,1.0
16.75,0.8884,0.16915,0.16769,-0.0306,0.0094,1.0
17.0,0.8806,0.17633,0.17488,-0.0349,0.0092,1.0
