Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-18.25,-0.9967,0.14409,0.14086,0.0204,1.0,0.0158
-18.0,-1.0307,0.13209,0.12869,0.0136,1.0,0.0158
-17.75,-1.0569,0.12234,0.11879,0.0082,1.0,0.0158
-17.5,-1.0795,0.11365,0.10996,0.0035,1.0,0.0159
-17.25,-1.1011,0.10543,0.10161,-0.0009,1.0,0.0159
-17.0,-1.1215,0.09763,0.09366,-0.0051,1.0,0.016
-16.75,-1.1407,0.09026,0.08615,-0.0091,1.0,0.016
-16.5,-1.1587,0.08329,0.07904,-0.0127,1.0,0.0161
-16.25,-1.1751,0.07675,0.07235,-0.0162,1.0,0.0162
-16.0,-1.1899,0.07064,0.06609,-0.0194,1.0,0.0163
-15.75,-1.2023,0.065,0.06029,-0.0223,1.0,0.0164
-15.5,-1.2126,0.05983,0.05495,-0.0249,1.0,0.0166
-15.25,-1.2203,0.05515,0.05012,-0.0272,1.0,0.0167
-15.0,-1.2278,0.05071,0.04556,-0.0293,1.0,0.0169
-14.75,-1.2329,0.04678,0.04151,-0.0309,1.0,0.0171
-14.5,-1.2351,0.0434,0.03802,-0.0321,1.0,0.0173
-14.25,-1.235,0.04051,0.03501,-0.0327,1.0,0.0176
-14.0,-1.2331,0.03798,0.03238,-0.033,1.0,0.0179
-13.75,-1.23,0.03578,0.03006,-0.0328,1.0,0.0182
-13.5,-1.2258,0.03381,0.02798,-0.0322,1.0,0.0186
-13.25,-1.2207,0.03206,0.0261,-0.0313,1.0,0.019
-13.0,-1.2146,0.0305,0.02443,-0.03,1.0,0.0194
-12.75,-1.2072,0.02913,0.02292,-0.0285,1.0,0.0198
-12.5,-1.1987,0.02792,0.02159,-0.0268,1.0,0.0202
-12.25,-1.192,0.02667,0.02028,-0.0247,1.0,0.0206
-12.0,-1.1824,0.02568,0.01923,-0.0226,1.0,0.0211
-11.75,-1.1703,0.02484,0.01832,-0.0207,1.0,0.0217
-11.5,-1.1552,0.02403,0.01743,-0.0191,1.0,0.0224
-11.25,-1.139,0.02325,0.01655,-0.0177,1.0,0.0232
-11.0,-1.1215,0.02253,0.01572,-0.0164,1.0,0.024
-10.75,-1.1054,0.02167,0.01484,-0.0149,1.0,0.0248
-10.5,-1.0871,0.02097,0.01409,-0.0137,1.0,0.0257
-10.25,-1.0679,0.02033,0.01338,-0.0125,1.0,0.0267
-10.0,-1.0479,0.01973,0.01271,-0.0113,1.0,0.0278
-9.75,-1.0282,0.01911,0.01203,-0.0101,1.0,0.029
-9.5,-1.0081,0.01851,0.01142,-0.009,1.0,0.0303
-9.25,-0.9872,0.018,0.01085,-0.0079,1.0,0.0319
-9.0,-0.966,0.01752,0.01031,-0.0068,1.0,0.0333
-8.75,-0.9459,0.01696,0.00974,-0.0056,1.0,0.035
-8.5,-0.9249,0.0165,0.00926,-0.0044,1.0,0.0371
-8.25,-0.9036,0.0161,0.0088,-0.0032,1.0,0.0392
-8.0,-0.8834,0.01562,0.00833,-0.0019,1.0,0.0417
-7.75,-0.8623,0.01523,0.00792,-0.0007,1.0,0.0445
-7.5,-0.8414,0.01484,0.00751,0.0006,1.0,0.0474
-7.25,-0.8205,0.01446,0.00714,0.0019,1.0,0.0512
-7.0,-0.7994,0.01411,0.00678,0.0031,1.0,0.0551
-6.75,-0.7785,0.01376,0.00644,0.0044,1.0,0.06
-6.5,-0.7574,0.01343,0.00612,0.0057,1.0,0.0653
-6.25,-0.7363,0.01313,0.00583,0.007,1.0,0.0718
-6.0,-0.7034,0.01275,0.00549,0.0057,0.9973,0.0811
-5.75,-0.6692,0.01238,0.00517,0.0042,0.9944,0.0925
-5.5,-0.6363,0.01203,0.00487,0.0029,0.9907,0.1059
-5.25,-0.6028,0.01168,0.00458,0.0015,0.9868,0.1219
-5.0,-0.568,0.01131,0.00431,-0.0001,0.9836,0.1412
-4.75,-0.5358,0.01096,0.00406,-0.0012,0.9786,0.163
-4.5,-0.5029,0.01062,0.00382,-0.0023,0.9735,0.187
-4.25,-0.47,0.01029,0.0036,-0.0035,0.9684,0.2139
-4.0,-0.4397,0.00997,0.0034,-0.0041,0.9606,0.2413
-3.75,-0.4078,0.00966,0.0032,-0.005,0.9537,0.2703
-3.5,-0.378,0.00938,0.00303,-0.0054,0.9443,0.2991
-3.25,-0.3484,0.00912,0.00287,-0.0057,0.9343,0.3285
-2.75,-0.291,0.00864,0.00258,-0.0058,0.91,0.3871
-2.5,-0.2636,0.00843,0.00245,-0.0055,0.8953,0.4155
-2.25,-0.2366,0.00825,0.00234,-0.0051,0.8791,0.4432
-2.0,-0.21,0.00809,0.00223,-0.0046,0.8614,0.4711
-1.75,-0.1836,0.00795,0.00214,-0.0041,0.8424,0.4982
-1.5,-0.1572,0.00784,0.00205,-0.0035,0.8221,0.525
-1.25,-0.131,0.00775,0.00199,-0.0029,0.8001,0.5518
-1.0,-0.1048,0.00767,0.00193,-0.0023,0.7775,0.5778
-0.75,-0.0786,0.00762,0.00188,-0.0018,0.7544,0.6041
-0.5,-0.0524,0.00758,0.00185,-0.0012,0.73,0.6296
-0.25,-0.0262,0.00756,0.00183,-0.0006,0.7056,0.6555
0.0,0.0,0.00755,0.00183,-0.0,0.6805,0.6805
0.25,0.0262,0.00756,0.00183,0.0006,0.6555,0.7057
0.5,0.0524,0.00758,0.00185,0.0012,0.6297,0.73
0.75,0.0786,0.00762,0.00188,0.0017,0.604,0.7543
1.0,0.1048,0.00768,0.00193,0.0023,0.5777,0.7775
1.25,0.131,0.00775,0.00199,0.0029,0.5517,0.8002
1.5,0.1572,0.00784,0.00205,0.0035,0.525,0.8221
1.75,0.1836,0.00795,0.00214,0.0041,0.4982,0.8424
2.0,0.21,0.0081,0.00223,0.0046,0.471,0.8614
2.25,0.2366,0.00825,0.00234,0.0051,0.4432,0.8791
2.5,0.2636,0.00843,0.00245,0.0055,0.4153,0.8953
2.75,0.291,0.00864,0.00258,0.0058,0.3871,0.91
3.0,0.3187,0.00887,0.00272,0.0059,0.3582,0.9235
3.25,0.3484,0.00912,0.00287,0.0057,0.3285,0.9343
3.5,0.378,0.00938,0.00303,0.0054,0.2992,0.9443
3.75,0.4078,0.00966,0.0032,0.005,0.2702,0.9537
4.0,0.4397,0.00997,0.0034,0.0041,0.2413,0.9605
4.25,0.47,0.01029,0.0036,0.0035,0.2139,0.9683
4.5,0.5029,0.01062,0.00382,0.0023,0.187,0.9735
4.75,0.5358,0.01096,0.00406,0.0012,0.163,0.9787
5.0,0.5681,0.01131,0.00431,0.0001,0.1412,0.9836
5.25,0.6028,0.01168,0.00458,-0.0016,0.1218,0.9868
5.5,0.6363,0.01203,0.00487,-0.0029,0.1059,0.9908
5.75,0.6693,0.01238,0.00517,-0.0042,0.0925,0.9944
6.0,0.7035,0.01275,0.00549,-0.0057,0.0811,0.9973
6.25,0.7362,0.01313,0.00583,-0.0069,0.0718,1.0
6.5,0.7574,0.01343,0.00612,-0.0057,0.0653,1.0
6.75,0.7784,0.01376,0.00644,-0.0044,0.06,1.0
7.0,0.7993,0.01411,0.00678,-0.0031,0.0551,1.0
7.25,0.8204,0.01446,0.00713,-0.0019,0.0512,1.0
7.5,0.8413,0.01484,0.00751,-0.0006,0.0474,1.0
7.75,0.8623,0.01523,0.00792,0.0007,0.0445,1.0
8.0,0.8833,0.01562,0.00833,0.0019,0.0417,1.0
8.25,0.9036,0.0161,0.0088,0.0032,0.0392,1.0
8.5,0.9249,0.0165,0.00926,0.0044,0.0371,1.0
8.75,0.9459,0.01696,0.00974,0.0056,0.035,1.0
9.0,0.9661,0.01752,0.0103,0.0068,0.0333,1.0
9.25,0.9873,0.018,0.01085,0.0079,0.0319,1.0
9.5,1.0082,0.01851,0.01142,0.009,0.0303,1.0
9.75,1.0283,0.01911,0.01203,0.0101,0.029,1.0
10.0,1.048,0.01973,0.01271,0.0113,0.0278,1.0
10.25,1.068,0.02033,0.01338,0.0124,0.0267,1.0
10.5,1.0873,0.02097,0.01409,0.0136,0.0257,1.0
10.75,1.1056,0.02167,0.01484,0.0149,0.0248,1.0
11.0,1.1217,0.02253,0.01572,0.0163,0.024,1.0
11.25,1.1392,0.02325,0.01655,0.0177,0.0232,1.0
11.5,1.1555,0.02403,0.01743,0.0191,0.0224,1.0
11.75,1.1707,0.02484,0.01832,0.0206,0.0217,1.0
12.0,1.1828,0.02568,0.01923,0.0225,0.0211,1.0
12.25,1.1925,0.02667,0.02028,0.0246,0.0206,1.0
12.5,1.1992,0.02792,0.02159,0.0267,0.0201,1.0
12.75,1.2079,0.02913,0.02293,0.0284,0.0198,1.0
13.0,1.2153,0.0305,0.02443,0.0299,0.0194,1.0
13.25,1.2215,0.03205,0.0261,0.0311,0.019,1.0
13.5,1.2268,0.0338,0.02796,0.0321,0.0186,1.0
13.75,1.231,0.03576,0.03004,0.0326,0.0182,1.0
14.0,1.2344,0.03796,0.03235,0.0328,0.0179,1.0
14.25,1.2363,0.04047,0.03498,0.0326,0.0176,1.0
14.5,1.2366,0.04335,0.03797,0.0319,0.0173,1.0
14.75,1.2345,0.04673,0.04147,0.0307,0.0171,1.0
15.0,1.2293,0.05069,0.04553,0.029,0.0169,1.0
15.25,1.2221,0.05511,0.05008,0.027,0.0167,1.0
15.5,1.2146,0.05977,0.0549,0.0247,0.0165,1.0
15.75,1.2043,0.06495,0.06025,0.022,0.0164,1.0
16.0,1.1919,0.07061,0.06606,0.0191,0.0163,1.0
16.25,1.1771,0.07672,0.07232,0.0159,0.0162,1.0
16.5,1.1607,0.08328,0.07903,0.0124,0.0161,1.0
16.75,1.1426,0.09027,0.08617,0.0087,0.016,1.0
17.0,1.1234,0.09765,0.09369,0.0048,0.016,1.0
17.25,1.103,0.10547,0.10165,0.0006,0.0159,1.0
17.5,1.0813,0.11372,0.11004,-0.0039,0.0159,1.0
17.75,1.0584,0.12248,0.11894,-0.0087,0.0158,1.0
18.0,1.032,0.13229,0.12889,-0.0141,0.0158,1.0
18.25,0.9975,0.14442,0.1412,-0.0209,0.0158,1.0
18.75,0.8083,0.21324,0.21032,-0.0555,0.0124,1.0
19.0,0.8138,0.21753,0.21462,-0.058,0.012,1.0
19.25,0.8202,0.22139,0.21848,-0.0603,0.0118,1.0
19.5,0.8272,0.22495,0.22204,-0.0624,0.0116,1.0
19.75,0.8347,0.22823,0.22531,-0.0645,0.0114,1.0
20.0,0.8427,0.23114,0.22823,-0.0665,0.0113,1.0
20.25,0.8506,0.23414,0.23124,-0.0686,0.0111,1.0
20.5,0.8524,0.24152,0.23861,-0.0723,0.0108,1.0
20.75,0.8576,0.24691,0.244,-0.0753,0.0103,1.0
21.0,0.8646,0.25094,0.24804,-0.0778,0.01,1.0
21.25,0.8718,0.2548,0.2519,-0.0802,0.0099,1.0
21.5,0.8792,0.25857,0.25567,-0.0827,0.0098,1.0
21.75,0.8867,0.26227,0.25938,-0.0851,0.0097,1.0
22.0,0.8941,0.26599,0.26311,-0.0875,0.0097,1.0
22.25,0.9016,0.26979,0.26691,-0.09,0.0097,1.0
