Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-30.0,-1.2637,0.41499,0.41372,0.1982,1.0,0.0007
-29.75,-1.2556,0.41174,0.41046,0.1951,1.0,0.0007
-29.5,-1.2472,0.40838,0.40709,0.192,1.0,0.0008
-29.25,-1.239,0.40521,0.40392,0.1889,1.0,0.0008
-29.0,-1.2305,0.4017,0.40041,0.1859,1.0,0.0009
-28.75,-1.2218,0.39799,0.3967,0.1827,1.0,0.0009
-28.5,-1.213,0.39421,0.39292,0.1796,1.0,0.0009
-28.25,-1.2042,0.39037,0.38907,0.1765,1.0,0.001
-28.0,-1.1953,0.3864,0.38509,0.1734,1.0,0.0011
-27.75,-1.1863,0.38234,0.38103,0.1703,1.0,0.0011
-27.5,-1.1772,0.37812,0.3768,0.1672,1.0,0.0012
-27.25,-1.1681,0.37325,0.37193,0.1639,1.0,0.0013
-27.0,-1.1591,0.36854,0.36722,0.1608,1.0,0.0014
-26.75,-1.15,0.36517,0.36384,0.1578,1.0,0.0015
-26.5,-1.1407,0.36183,0.36051,0.1549,1.0,0.0015
-26.25,-1.1314,0.3582,0.35687,0.1519,1.0,0.0016
-26.0,-1.1221,0.35455,0.35322,0.149,1.0,0.0016
-25.75,-1.1127,0.35067,0.34934,0.146,1.0,0.0017
-25.5,-1.1033,0.34675,0.34541,0.1431,1.0,0.0018
-25.25,-1.0938,0.34273,0.34138,0.1401,1.0,0.0019
-25.0,-1.0843,0.33854,0.3372,0.1371,1.0,0.002
-24.75,-1.075,0.33413,0.33278,0.1341,1.0,0.0021
-24.5,-1.0658,0.32914,0.32779,0.131,1.0,0.0023
-24.25,-1.0567,0.32432,0.32297,0.1279,1.0,0.0024
-24.0,-1.047,0.32076,0.3194,0.1251,1.0,0.0025
-23.75,-1.0372,0.31719,0.31584,0.1223,1.0,0.0025
-23.5,-1.0275,0.31347,0.31211,0.1195,1.0,0.0026
-23.25,-1.0178,0.30957,0.30821,0.1168,1.0,0.0027
-23.0,-1.0081,0.30563,0.30426,0.114,1.0,0.0028
-22.75,-0.9985,0.30151,0.30014,0.1111,1.0,0.0029
-22.5,-0.9892,0.29716,0.29579,0.1083,1.0,0.0031
-22.25,-0.9801,0.29254,0.29117,0.1053,1.0,0.0032
-22.0,-0.9719,0.28702,0.28564,0.1021,1.0,0.0035
-21.75,-0.963,0.28252,0.28115,0.0992,1.0,0.0037
-21.5,-0.9531,0.27893,0.27755,0.0966,1.0,0.0038
-21.25,-0.9433,0.27514,0.27376,0.0939,1.0,0.0039
-21.0,-0.9337,0.27127,0.26989,0.0913,1.0,0.004
-20.75,-0.9244,0.26716,0.26578,0.0886,1.0,0.0041
-20.5,-0.9154,0.26284,0.26146,0.0859,1.0,0.0043
-20.25,-0.9071,0.25812,0.25673,0.083,1.0,0.0045
-20.0,-0.901,0.25209,0.25071,0.0796,1.0,0.0049
-19.75,-0.8942,0.24671,0.24532,0.0764,1.0,0.0052
-19.5,-0.8845,0.243,0.24161,0.074,1.0,0.0053
-19.25,-0.8751,0.23916,0.23777,0.0715,1.0,0.0054
-19.0,-0.8665,0.23492,0.23353,0.0689,1.0,0.0056
-18.75,-0.8589,0.23023,0.22884,0.0661,1.0,0.0059
-18.5,-0.8541,0.22438,0.22299,0.0627,1.0,0.0063
-18.25,-0.8555,0.21639,0.215,0.0583,1.0,0.0069
-18.0,-0.848,0.21208,0.21069,0.0557,1.0,0.0071
-17.75,-0.8412,0.20755,0.20616,0.053,1.0,0.0073
-17.5,-0.8365,0.20246,0.20107,0.05,1.0,0.0076
-17.25,-0.8426,0.1942,0.1928,0.0453,1.0,0.0084
-17.0,-0.8624,0.18283,0.18141,0.0384,1.0,0.0089
-16.75,-0.8647,0.17657,0.17515,0.0347,1.0,0.0092
-16.5,-0.871,0.16962,0.16819,0.0305,1.0,0.0094
-16.25,-0.8808,0.16222,0.16078,0.026,1.0,0.0096
-16.0,-0.8924,0.15481,0.15336,0.0214,1.0,0.0097
-15.75,-0.9053,0.14736,0.14589,0.0169,1.0,0.0099
-15.5,-0.9198,0.13992,0.13844,0.0124,1.0,0.01
-15.25,-0.9355,0.1326,0.1311,0.008,1.0,0.01
-15.0,-0.9525,0.12528,0.12377,0.0037,1.0,0.0101
-14.75,-0.9709,0.11799,0.11645,-0.0006,1.0,0.0101
-14.5,-0.9905,0.11079,0.10924,-0.0048,1.0,0.0102
-14.25,-1.0107,0.10365,0.10208,-0.0088,1.0,0.0102
-14.0,-1.0315,0.09665,0.09507,-0.0127,1.0,0.0102
-13.75,-1.0525,0.08973,0.08813,-0.0165,1.0,0.0102
-13.5,-1.0735,0.08289,0.08127,-0.0202,1.0,0.0102
-13.25,-1.094,0.07611,0.07444,-0.0239,1.0,0.0102
-13.0,-1.114,0.06934,0.06762,-0.0277,1.0,0.0102
-12.75,-1.1333,0.06259,0.06082,-0.0317,1.0,0.0102
-12.5,-1.1517,0.05591,0.05405,-0.0359,1.0,0.0103
-12.25,-1.1692,0.04936,0.04738,-0.0403,1.0,0.0103
-12.0,-1.1859,0.04314,0.04103,-0.0444,1.0,0.0104
-11.75,-1.2016,0.03746,0.03517,-0.0478,1.0,0.0105
-11.5,-1.2163,0.03256,0.03008,-0.0496,1.0,0.0107
-11.25,-1.2293,0.02851,0.0258,-0.0497,1.0,0.0109
-11.0,-1.2399,0.02524,0.0223,-0.0479,1.0,0.0111
-10.75,-1.2437,0.02282,0.01966,-0.0449,1.0,0.0113
-10.5,-1.2432,0.02092,0.01755,-0.041,1.0,0.0115
-10.25,-1.2391,0.01942,0.01585,-0.0365,1.0,0.0118
-10.0,-1.2268,0.01809,0.01432,-0.0328,1.0,0.0121
-9.75,-1.2096,0.01696,0.01301,-0.0294,1.0,0.0126
-9.5,-1.1896,0.01602,0.0119,-0.0263,1.0,0.0131
-9.25,-1.168,0.01523,0.01097,-0.0232,1.0,0.0136
-9.0,-1.1463,0.01456,0.01019,-0.0201,1.0,0.0141
-8.75,-1.1197,0.01394,0.00947,-0.0178,0.9993,0.0148
-8.5,-1.0835,0.01333,0.00876,-0.0173,0.997,0.0159
-8.25,-1.0462,0.01276,0.0081,-0.0171,0.9949,0.0168
-8.0,-1.0102,0.01223,0.00751,-0.0167,0.992,0.018
-7.75,-0.9749,0.01178,0.00699,-0.0162,0.9873,0.0192
-7.5,-0.9379,0.01135,0.0065,-0.0162,0.9833,0.0205
-7.25,-0.9044,0.01095,0.00606,-0.0155,0.9766,0.0224
-7.0,-0.8697,0.01061,0.00567,-0.015,0.9697,0.024
-6.75,-0.8382,0.01027,0.00529,-0.014,0.9597,0.0261
-6.5,-0.8068,0.00999,0.00496,-0.0129,0.9489,0.0282
-6.25,-0.7764,0.0097,0.00464,-0.0118,0.9364,0.0311
-6.0,-0.7459,0.00946,0.00434,-0.0107,0.9223,0.0337
-5.75,-0.7154,0.00922,0.00405,-0.0096,0.9067,0.0373
-5.5,-0.6848,0.009,0.00379,-0.0087,0.8898,0.0415
-5.25,-0.6538,0.00881,0.00354,-0.0078,0.8719,0.0458
-5.0,-0.623,0.00861,0.00329,-0.007,0.8526,0.0516
-4.75,-0.5921,0.00843,0.00307,-0.0063,0.832,0.0586
-4.5,-0.561,0.00828,0.00286,-0.0056,0.8105,0.0657
-4.25,-0.53,0.00812,0.00266,-0.005,0.7893,0.075
-4.0,-0.4989,0.00797,0.00248,-0.0045,0.767,0.0849
-3.75,-0.4679,0.00782,0.00231,-0.004,0.7441,0.0977
-3.5,-0.4369,0.00767,0.00214,-0.0035,0.7218,0.1118
-3.25,-0.4058,0.00753,0.00199,-0.0031,0.6984,0.1277
-3.0,-0.3749,0.0074,0.00185,-0.0027,0.6757,0.1459
-2.75,-0.3437,0.00728,0.00173,-0.0023,0.6531,0.1647
-2.5,-0.3126,0.00717,0.00162,-0.002,0.6301,0.1845
-2.25,-0.2816,0.00705,0.00151,-0.0017,0.6079,0.2066
-2.0,-0.2503,0.00696,0.00143,-0.0015,0.5859,0.2277
-1.75,-0.2192,0.00687,0.00135,-0.0012,0.5632,0.2508
-1.5,-0.188,0.0068,0.00128,-0.001,0.5412,0.2736
-1.25,-0.1567,0.00673,0.00122,-0.0008,0.5198,0.2966
-1.0,-0.1254,0.00668,0.00118,-0.0006,0.4976,0.3196
-0.5,-0.0628,0.00661,0.00112,-0.0003,0.4541,0.3652
-0.25,-0.0314,0.00659,0.00111,-0.0002,0.4314,0.3876
0.0,-0.0,0.00659,0.0011,-0.0,0.4092,0.4094
0.25,0.0313,0.00659,0.00111,0.0002,0.3878,0.4322
0.5,0.0628,0.00661,0.00112,0.0003,0.3651,0.4541
0.75,0.0941,0.00665,0.00115,0.0005,0.3421,0.4753
1.0,0.1254,0.00667,0.00118,0.0006,0.3198,0.498
1.25,0.1567,0.00673,0.00122,0.0008,0.2966,0.5197
1.5,0.188,0.0068,0.00128,0.001,0.2735,0.5409
1.75,0.2192,0.00687,0.00135,0.0012,0.2506,0.5631
2.0,0.2503,0.00696,0.00143,0.0015,0.2277,0.5859
2.25,0.2816,0.00705,0.00151,0.0017,0.2065,0.6076
