Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.0,-1.3205,0.02295,0.01899,-0.0383,1.0,0.0108
-11.75,-1.312,0.02165,0.01754,-0.0353,1.0,0.011
-11.5,-1.3019,0.02054,0.0163,-0.032,1.0,0.0113
-11.25,-1.2877,0.01956,0.0152,-0.0291,1.0,0.0116
-11.0,-1.2689,0.01868,0.01422,-0.0268,1.0,0.012
-10.75,-1.2483,0.0179,0.01334,-0.0246,1.0,0.0126
-10.5,-1.2267,0.01716,0.0125,-0.0225,1.0,0.0131
-10.25,-1.2041,0.01648,0.01172,-0.0205,1.0,0.0135
-10.0,-1.1813,0.01583,0.01098,-0.0185,1.0,0.014
-9.75,-1.1581,0.01523,0.01032,-0.0166,1.0,0.0146
-9.5,-1.1347,0.0147,0.00973,-0.0146,1.0,0.0153
-9.25,-1.1115,0.01423,0.00918,-0.0126,1.0,0.016
-9.0,-1.0884,0.0138,0.00869,-0.0105,1.0,0.0166
-8.75,-1.0655,0.01335,0.0082,-0.0084,0.9999,0.0176
-8.5,-1.0314,0.01287,0.00768,-0.0086,0.9981,0.0188
-8.25,-0.9967,0.01244,0.0072,-0.0089,0.9961,0.0199
-8.0,-0.9614,0.01201,0.00673,-0.0094,0.9944,0.0212
-7.75,-0.9274,0.01161,0.00632,-0.0096,0.9918,0.0228
-7.5,-0.8941,0.01126,0.00593,-0.0097,0.9878,0.0245
-7.25,-0.8597,0.01089,0.00555,-0.0101,0.9842,0.0267
-7.0,-0.8269,0.01059,0.00523,-0.0101,0.9791,0.0285
-6.75,-0.7945,0.01027,0.00489,-0.0101,0.9728,0.0312
-6.5,-0.763,0.00999,0.0046,-0.0099,0.9656,0.0341
-6.25,-0.7326,0.00971,0.00432,-0.0095,0.9565,0.0376
-6.0,-0.7032,0.00946,0.00406,-0.0088,0.9457,0.0409
-5.75,-0.6743,0.00923,0.00381,-0.0081,0.9337,0.0454
-5.5,-0.6457,0.009,0.00356,-0.0074,0.92,0.0506
-5.25,-0.617,0.0088,0.00334,-0.0067,0.9049,0.0562
-5.0,-0.5882,0.00862,0.00312,-0.006,0.8884,0.0629
-4.75,-0.5593,0.00843,0.00291,-0.0054,0.8707,0.071
-4.5,-0.5304,0.00825,0.00271,-0.0048,0.8515,0.0812
-4.25,-0.5014,0.00809,0.00253,-0.0043,0.8311,0.0918
-4.0,-0.4724,0.00793,0.00236,-0.0038,0.8102,0.105
-3.75,-0.4433,0.00778,0.00219,-0.0034,0.789,0.1193
-3.5,-0.414,0.00764,0.00204,-0.003,0.7667,0.1352
-3.25,-0.3848,0.00751,0.0019,-0.0026,0.7438,0.1531
-3.0,-0.3556,0.00737,0.00177,-0.0023,0.7212,0.1731
-2.75,-0.3262,0.00725,0.00166,-0.002,0.6982,0.1938
-2.5,-0.2968,0.00715,0.00155,-0.0017,0.6748,0.215
-2.25,-0.2674,0.00703,0.00146,-0.0015,0.6523,0.2383
-2.0,-0.2378,0.00695,0.00138,-0.0012,0.6294,0.2606
-1.75,-0.2084,0.00686,0.0013,-0.001,0.6064,0.2852
-1.5,-0.1786,0.0068,0.00124,-0.0009,0.5836,0.3083
-1.25,-0.149,0.00673,0.00119,-0.0007,0.561,0.3326
-1.0,-0.1192,0.00669,0.00115,-0.0005,0.5386,0.3557
-0.75,-0.0894,0.00664,0.00112,-0.0004,0.5161,0.3786
-0.5,-0.0596,0.00662,0.0011,-0.0003,0.4933,0.4023
-0.25,-0.0298,0.00661,0.00108,-0.0001,0.4713,0.4246
0.0,-0.0,0.00659,0.00108,-0.0,0.448,0.4482
0.25,0.0298,0.00661,0.00108,0.0001,0.4248,0.4708
0.5,0.0597,0.00662,0.0011,0.0002,0.4024,0.4933
0.75,0.0895,0.00664,0.00112,0.0004,0.3788,0.5158
1.0,0.1192,0.00669,0.00115,0.0005,0.3556,0.5385
1.25,0.149,0.00673,0.00119,0.0007,0.3319,0.5607
1.5,0.1786,0.0068,0.00124,0.0009,0.308,0.5837
1.75,0.2083,0.00686,0.0013,0.001,0.2847,0.6065
2.0,0.2378,0.00695,0.00138,0.0012,0.2606,0.6289
2.25,0.2674,0.00703,0.00146,0.0014,0.2382,0.6525
2.5,0.2968,0.00715,0.00155,0.0017,0.2149,0.6748
2.75,0.3262,0.00725,0.00166,0.002,0.1936,0.6983
3.0,0.3556,0.00737,0.00177,0.0023,0.1733,0.7211
3.25,0.3848,0.00751,0.0019,0.0026,0.153,0.7437
3.5,0.414,0.00764,0.00204,0.003,0.1353,0.7666
3.75,0.4433,0.00778,0.00219,0.0034,0.1193,0.7891
4.0,0.4724,0.00793,0.00236,0.0038,0.105,0.8104
4.25,0.5014,0.00809,0.00253,0.0043,0.0917,0.8314
4.5,0.5304,0.00825,0.00271,0.0048,0.0811,0.8514
4.75,0.5593,0.00843,0.00291,0.0054,0.0711,0.8706
5.0,0.5882,0.00862,0.00312,0.006,0.0629,0.8883
5.25,0.617,0.00881,0.00334,0.0067,0.0561,0.9048
5.5,0.6458,0.009,0.00356,0.0074,0.0506,0.92
5.75,0.6743,0.00923,0.00381,0.0081,0.0454,0.9336
6.0,0.7033,0.00946,0.00405,0.0088,0.0409,0.9455
6.25,0.7326,0.00971,0.00432,0.0095,0.0376,0.9565
6.5,0.763,0.00999,0.0046,0.0099,0.0341,0.9657
6.75,0.7946,0.01026,0.00489,0.0101,0.0313,0.9729
7.0,0.8269,0.01059,0.00523,0.0101,0.0285,0.9792
7.25,0.8597,0.01089,0.00555,0.0101,0.0267,0.9842
7.5,0.8942,0.01126,0.00593,0.0097,0.0245,0.9879
7.75,0.9275,0.01161,0.00631,0.0096,0.0228,0.9918
8.0,0.9615,0.012,0.00673,0.0094,0.0212,0.9944
8.25,0.9967,0.01244,0.0072,0.0089,0.0199,0.9961
8.5,1.0316,0.01287,0.00768,0.0086,0.0188,0.9981
8.75,1.0657,0.01334,0.0082,0.0084,0.0176,0.9999
9.0,1.0884,0.0138,0.00869,0.0105,0.0167,1.0
9.25,1.1115,0.01423,0.00918,0.0126,0.016,1.0
9.5,1.1348,0.0147,0.00972,0.0146,0.0153,1.0
9.75,1.1582,0.01523,0.01031,0.0166,0.0146,1.0
