Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.0,-1.297,0.02705,0.02383,-0.0465,1.0,0.0103
-11.75,-1.2984,0.02467,0.02125,-0.0443,1.0,0.0105
-11.5,-1.2963,0.02276,0.01915,-0.0413,1.0,0.0108
-11.25,-1.2909,0.02123,0.01743,-0.0379,1.0,0.011
-11.0,-1.2822,0.02,0.01605,-0.0342,1.0,0.0113
-10.75,-1.2671,0.01896,0.01488,-0.0311,1.0,0.0117
-10.5,-1.2481,0.01802,0.01381,-0.0284,1.0,0.0121
-10.25,-1.2275,0.01716,0.01282,-0.0259,1.0,0.0126
-10.0,-1.2055,0.01639,0.01193,-0.0235,1.0,0.0131
-9.75,-1.1825,0.0157,0.01113,-0.0211,1.0,0.0136
-9.5,-1.1595,0.01506,0.0104,-0.0188,1.0,0.0141
-9.25,-1.1365,0.01449,0.00975,-0.0164,1.0,0.0148
-9.0,-1.1136,0.01399,0.00919,-0.0139,1.0,0.0155
-8.75,-1.0868,0.01351,0.00864,-0.0122,0.9994,0.0163
-8.5,-1.0519,0.01298,0.00804,-0.0121,0.9974,0.0174
-8.25,-1.0162,0.01249,0.00749,-0.0122,0.9954,0.0185
-8.0,-0.9795,0.01205,0.007,-0.0126,0.9937,0.0197
-7.75,-0.9463,0.01163,0.00655,-0.0123,0.9896,0.021
-7.5,-0.9115,0.01124,0.00612,-0.0123,0.9855,0.0228
-7.25,-0.8767,0.01088,0.00573,-0.0124,0.9813,0.0246
-7.0,-0.8442,0.01054,0.00537,-0.0121,0.9746,0.0266
-6.75,-0.8111,0.01024,0.00504,-0.0118,0.9678,0.0285
-6.5,-0.7804,0.00993,0.00472,-0.0111,0.9582,0.0315
-6.25,-0.7502,0.00967,0.00443,-0.0104,0.9476,0.0343
-6.0,-0.7207,0.00942,0.00415,-0.0095,0.9356,0.0377
-5.75,-0.6913,0.00919,0.00389,-0.0086,0.9218,0.0415
-5.5,-0.6618,0.00899,0.00364,-0.0078,0.9065,0.0459
-5.25,-0.6324,0.00877,0.0034,-0.007,0.8899,0.0514
-5.0,-0.6027,0.00858,0.00317,-0.0063,0.8723,0.0579
-4.75,-0.5729,0.00842,0.00297,-0.0056,0.853,0.0647
-4.5,-0.543,0.00825,0.00276,-0.0051,0.8326,0.0731
-4.25,-0.5132,0.00809,0.00258,-0.0045,0.8116,0.0833
-4.0,-0.4834,0.00794,0.0024,-0.004,0.7903,0.0953
-3.75,-0.4534,0.00779,0.00223,-0.0036,0.7682,0.1084
-3.5,-0.4234,0.00765,0.00208,-0.0031,0.7456,0.1238
-3.25,-0.3936,0.00751,0.00193,-0.0027,0.7226,0.1411
-3.0,-0.3636,0.00737,0.0018,-0.0024,0.6998,0.16
-2.75,-0.3335,0.00726,0.00168,-0.0021,0.6765,0.1797
-2.5,-0.3034,0.00715,0.00157,-0.0018,0.654,0.2006
-2.25,-0.2732,0.00703,0.00147,-0.0015,0.6315,0.2234
-1.75,-0.2128,0.00686,0.00131,-0.0011,0.586,0.2692
-1.5,-0.1825,0.00679,0.00125,-0.0009,0.5634,0.2918
-1.25,-0.1522,0.00672,0.0012,-0.0007,0.5414,0.3156
-1.0,-0.1218,0.00668,0.00116,-0.0006,0.5194,0.3384
-0.75,-0.0913,0.00664,0.00112,-0.0004,0.497,0.3609
-0.5,-0.061,0.00661,0.0011,-0.0003,0.4743,0.3847
-0.25,-0.0304,0.0066,0.00109,-0.0001,0.4525,0.4069
0.0,-0.0,0.00658,0.00108,-0.0,0.4298,0.43
0.5,0.061,0.00661,0.0011,0.0003,0.3846,0.4743
0.75,0.0914,0.00664,0.00112,0.0004,0.3612,0.4964
1.0,0.1218,0.00668,0.00116,0.0006,0.3383,0.5197
1.25,0.1522,0.00673,0.0012,0.0007,0.315,0.5412
1.5,0.1825,0.00679,0.00125,0.0009,0.2915,0.5633
1.75,0.2128,0.00686,0.00131,0.0011,0.2686,0.586
2.25,0.2733,0.00703,0.00147,0.0015,0.2234,0.6314
2.5,0.3034,0.00715,0.00157,0.0018,0.2005,0.6541
2.75,0.3335,0.00726,0.00168,0.0021,0.1797,0.6769
3.0,0.3636,0.00737,0.0018,0.0024,0.1602,0.6997
3.25,0.3936,0.00751,0.00193,0.0027,0.1411,0.7228
3.5,0.4235,0.00765,0.00208,0.0031,0.1239,0.7452
3.75,0.4534,0.00779,0.00223,0.0035,0.1084,0.7683
4.0,0.4834,0.00794,0.0024,0.004,0.0952,0.7904
4.25,0.5132,0.00809,0.00258,0.0045,0.0833,0.8117
4.5,0.543,0.00825,0.00277,0.0051,0.0729,0.8327
4.75,0.5729,0.00842,0.00297,0.0056,0.0647,0.8532
5.0,0.6028,0.00858,0.00317,0.0063,0.0579,0.8722
5.25,0.6324,0.00878,0.0034,0.007,0.0513,0.8899
5.5,0.6618,0.00899,0.00364,0.0078,0.0459,0.9064
5.75,0.6913,0.00919,0.00389,0.0086,0.0415,0.9217
6.0,0.7207,0.00942,0.00415,0.0095,0.0377,0.9354
6.25,0.7502,0.00967,0.00443,0.0104,0.0343,0.9475
6.5,0.7805,0.00993,0.00472,0.0111,0.0315,0.9583
6.75,0.8112,0.01024,0.00504,0.0118,0.0286,0.9679
7.0,0.8442,0.01054,0.00537,0.012,0.0266,0.9747
7.25,0.8767,0.01088,0.00573,0.0124,0.0245,0.9814
